Rank,Title,Citations,Year,URL,Description
1,Latent semantic indexing: A probabilistic analysis,1755,1998,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hRggMmIAAAAJ&pagesize=50&citation_for_view=hRggMmIAAAAJ:qjMakFHDy7sC,"Latent semantic indexing (LX) is an information retrieval technique based on the spectral analysis of the term-document matrix, whose empirical success had heretofort been without rigorous prediction and explanation. We prove that, under certain conditions, LSI does succeed in capturing the underlying semantics of the corpus and achieves improved retrieval performance. We also propose the technique of random projection as a way of speeding up LSI. We complement our theorems with encouraging experimental results. We also argue that our results may be viewed in a more general framework, as a theoretical basis for the use of spectral methods in a wider class of applications such as collaborative filtering."
2,"On clusterings: Good, bad and spectral",1675,2004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hRggMmIAAAAJ&pagesize=50&citation_for_view=hRggMmIAAAAJ:u5HHmVD_uO8C,"We motivate and develop a natural bicriteria measure for assessing the quality of a clustering that avoids the drawbacks of existing measures. A simple recursive heuristic is shown to have poly-logarithmic worst-case guarantees under the new measure. The main result of the article is the analysis of a popular spectral algorithm. One variant of spectral clustering turns out to have effective worst-case guarantees; another finds a ""good"" clustering, if one exists."
3,Creation and analysis of biochemical constraint-based models using the COBRA Toolbox v. 3.0,1419,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hRggMmIAAAAJ&pagesize=50&citation_for_view=hRggMmIAAAAJ:PVgj2kMGcgYC,"Constraint-based reconstruction and analysis (COBRA) provides a molecular mechanistic framework for integrative analysis of experimental molecular systems biology data and quantitative prediction of physicochemically and biochemically feasible phenotypic states. The COBRA Toolbox is a comprehensive desktop software suite of interoperable COBRA methods. It has found widespread application in biology, biomedicine, and biotechnology because its functions can be flexibly combined to implement tailored COBRA protocols for any biochemical network. This protocol is an update to the COBRA Toolbox v.1.0 and v.2.0. Version 3.0 includes new methods for quality-controlled reconstruction, modeling, topological analysis, strain and experimental design, and network visualization, as well as network integration of chemoinformatic, metabolomic, transcriptomic, proteomic, and thermochemical data. New multi …"
4,Efficient algorithms for on-line optimization,1073,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hRggMmIAAAAJ&pagesize=50&citation_for_view=hRggMmIAAAAJ:Tyk-4Ss8FVUC,"In an online decision problem, one makes a sequence of decisions without knowledge of the future. Each period, one pays a cost based on the decision and observed state. We give a simple approach for doing nearly as well as the best single decision, where the best is chosen with the benefit of hindsight. A natural idea is to follow the leader, ie each period choose the decision which has done best so far. We show that by slightly perturbing the totals and then choosing the best decision, the expected performance is nearly as good as the best decision in hindsight. Our approach, which is very much like Hannan’s original game-theoretic approach from the 1950s, yields guarantees competitive with the more modern exponential weighting algorithms like Weighted Majority. More importantly, these follow-the-leader style algorithms extend naturally to a large class of structured online problems for which the exponential algorithms are inefficient.© 2004 Elsevier Inc. All rights reserved."
5,Fast Monte-Carlo algorithms for finding low-rank approximations,991,2004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hRggMmIAAAAJ&pagesize=50&citation_for_view=hRggMmIAAAAJ:d1gkVwhDpl0C,"We consider the problem of approximating a given m × n matrix A by another matrix of specified rank k, which is smaller than m and n. The Singular Value Decomposition (SVD) can be used to find the ""best"" such approximation. However, it takes time polynomial in m, n which is prohibitive for some modern applications. In this article, we develop an algorithm that is qualitatively faster, provided we may sample the entries of the matrix in accordance with a natural probability distribution. In many applications, such sampling can be done efficiently. Our main result is a randomized algorithm to find the description of a matrix D* of rank at most k so that holds with probability at least 1 − δ (where |·|F is the Frobenius norm). The algorithm takes time polynomial in k,1/ε, log(1/δ) only and is independent of m and n. In particular, this implies that in constant time, it can be determined if a given matrix of arbitrary size has a good …"
6,Clustering large graphs via the singular value decomposition,730,2004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hRggMmIAAAAJ&pagesize=50&citation_for_view=hRggMmIAAAAJ:9yKSN-GCB0IC,"We consider the problem of partitioning a set of m points in the n-dimensional Euclidean space into k clusters (usually m and n are variable, while k is fixed), so as to minimize the sum of squared distances between each point and its cluster center. This formulation is usually the objective of the k-means clustering algorithm (Kanungo et al. (2000)). We prove that this problem in NP-hard even for k = 2, and we consider a continuous relaxation of this discrete problem: find the k-dimensional subspace V that minimizes the sum of squared distances to V of the m points. This relaxation can be solved by computing the Singular Value Decomposition (SVD) of the m × n matrix A that represents the m points; this solution can be used to get a 2-approximation algorithm for the original problem. We then argue that in fact the relaxation provides a generalized clustering which is useful in its own right.Finally, we show that the SVD …"
7,The random projection method,699,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hRggMmIAAAAJ&pagesize=50&citation_for_view=hRggMmIAAAAJ:zYLM7Y9cAGgC,"Random projection is a simple geometric technique for reducing the dimensionality of a set of points in Euclidean space while preserving pairwise distances approximately. The technique plays a key role in several breakthrough developments in the field of algorithms. In other cases, it provides elegant alternative proofs. The book begins with an elementary description of the technique and its basic properties. Then it develops the method in the context of applications, which are divided into three groups. The first group consists of combinatorial optimization problems such as maxcut, graph coloring, minimum multicut, graph bandwidth and VLSI layout. Presented in this context is the theory of Euclidean embeddings of graphs. The next group is machine learning problems, specifically, learning intersections of halfspaces and learning large margin hypotheses. The projection method is further refined for the latter application. The last set consists of problems inspired by information retrieval, namely, nearest neighbor search, geometric clustering and efficient low-rank approximation. Motivated by the first two applications, an extension of random projection to the hypercube is developed here. Throughout the book, random projection is used as a way to understand, simplify and connect progress on these important and seemingly unrelated problems. The book is suitable for graduate students and research mathematicians interested in computational geometry."
8,An algorithmic theory of learning: Robust concepts and random projection,508,2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hRggMmIAAAAJ&pagesize=50&citation_for_view=hRggMmIAAAAJ:4DMP91E08xMC,"We study the phenomenon of cognitive learning from an algorithmic standpoint. How does the brain effectively learn concepts from a small number of examples despite the fact that each example contains a huge amount of information? We provide a novel algorithmic analysis via a model of robust concept learning (closely related to “margin classifiers”), and show that a relatively small number of examples are sufficient to learn rich concept classes. The new algorithms have several advantages—they are faster, conceptually simpler, and resistant to low levels of noise. For example, a robust half-space can be learned in linear time using only a constant number of training examples, regardless of the number of attributes. A general (algorithmic) consequence of the model, that “more robust concepts are easier to learn”, is supported by a multitude of psychological studies."
9,The geometry of logconcave functions and sampling algorithms,475,2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hRggMmIAAAAJ&pagesize=50&citation_for_view=hRggMmIAAAAJ:_kc_bZDykSQC,"The class of logconcave functions in ℝn is a common generalization of Gaussians and of indicator functions of convex sets. Motivated by the problem of sampling from logconcave density functions, we study their geometry and introduce a technique for “smoothing” them out. These results are applied to analyze two efficient algorithms for sampling from a logconcave distribution in n dimensions, with no assumptions on the local smoothness of the density function. Both algorithms, the ball walk and the hit‐and‐run walk, use a random walk (Markov chain) to generate a random point. After appropriate preprocessing, they produce a point from approximately the right distribution in time O*(n4) and in amortized time O*(n3) if n or more sample points are needed (where the asterisk indicates that dependence on the error parameter and factors of log n are not shown). These bounds match previous bounds for the special …"
10,Matrix approximation and projective clustering via volume sampling,441,2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hRggMmIAAAAJ&pagesize=50&citation_for_view=hRggMmIAAAAJ:UebtZRa9Y70C,"Frieze, Kannan, and Vempala (JACM 2004) proved that a small sample of rows of a given matrix A spans the rows of a low-rank approximation D that minimizes A− Df within a small additive error, and the sampling can be done efficiently using just two passes over the matrix. In this paper, we generalize this result in two ways. First, we prove that the additive error drops exponentially by iterating the sampling in an adaptive manner (adaptive sampling). Using this result, we give a pass-efficient algorithm for computing a low-rank approximation with reduced additive error. Our second result is that there exist k rows of A whose span contains the rows of a multiplicative (k+ 1)-approximation to the best rank-k matrix; moreover, this subset can be found by sampling k-subsets of rows from a natural distribution (volume sampling). Combining volume sampling with adaptive sampling yields the existence of a set of k+k (k+ 1)/ε rows whose span contains the rows of a multiplicative (1+ ε)-approximation. This leads to a PTAS for the following NP-hard"
