Rank,Title,Citations,Year,URL,Description
1,Non-parametric seismic data recovery with curvelet frames,781,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hw23CTQAAAAJ&pagesize=50&citation_for_view=hw23CTQAAAAJ:u5HHmVD_uO8C,"Seismic data recovery from data with missing traces on otherwise regular acquisition grids forms a crucial step in the seismic processing flow. For instance, unsuccessful recovery leads to imaging artefacts and to erroneous predictions for the multiples, adversely affecting the performance of multiple elimination. A non-parametric transform-based recovery method is presented that exploits the compression of seismic data volumes by recently developed curvelet frames. The elements of this transform are multidimensional and directional and locally resemble wave fronts present in the data, which leads to a compressible representation for seismic data. This compression enables us to formulate a new curvelet-based seismic data recovery algorithm through sparsity-promoting inversion. The concept of sparsity-promoting inversion is in itself not new to geophysics. However, the recent insights from the field of …"
2,Simply denoise: Wavefield reconstruction via jittered undersampling,460,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hw23CTQAAAAJ&pagesize=50&citation_for_view=hw23CTQAAAAJ:9yKSN-GCB0IC,"We present a new, discrete undersampling scheme designed to favor wavefield reconstruction by sparsity-promoting inversion with transform elements localized in the Fourier domain. The work is motivated by empirical observations in the seismic community, corroborated by results from compressive sampling, that indicate favorable (wavefield) reconstructions from random rather than regular undersampling. Indeed, random undersampling renders coherent aliases into harmless incoherent random noise, effectively turning the interpolation problem into a much simpler denoising problem. A practical requirement of wavefield reconstruction with localized sparsifying transforms is the control on the maximum gap size. Unfortunately, random undersampling does not provide such a control. Thus, we introduce a sampling scheme, termed jittered undersampling, that shares the benefits of random sampling and …"
3,Mitigating local minima in full-waveform inversion by expanding the search space,439,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hw23CTQAAAAJ&pagesize=50&citation_for_view=hw23CTQAAAAJ:i2xiXl-TujoC,"Wave equation based inversions, such as full-waveform inversion and reverse-time migration, are challenging because of their computational costs, memory requirements and reliance on accurate initial models. To confront these issues, we propose a novel formulation of wave equation based inversion based on a penalty method. In this formulation, the objective function consists of a data-misfit term and a penalty term, which measures how accurately the wavefields satisfy the wave equation. This new approach is a major departure from current formulations where forward and adjoint wavefields, which both satisfy the wave equation, are correlated to compute updates for the unknown model parameters. Instead, we carry out the inversions over two alternating steps during which we first estimate the wavefield everywhere, given the current model parameters, source and observed data, followed by a second …"
4,Seismic denoising with nonuniformly sampled curvelets,344,2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hw23CTQAAAAJ&pagesize=50&citation_for_view=hw23CTQAAAAJ:d1gkVwhDpl0C,The authors present an extension of the fast discrete curvelet transform (FDCT) to nonuniformly sampled data. This extension not only restores curvelet compression rates for nonuniformly sampled data but also removes noise and maps the data to a regular grid
5,Curvelet-based seismic data processing: A multiscale and nonlinear approach,301,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hw23CTQAAAAJ&pagesize=50&citation_for_view=hw23CTQAAAAJ:IjCSPb-OGe4C,"Mitigating missing data, multiples, and erroneous migration amplitudes are key factors that determine image quality. Curvelets, little “plane waves,” complete with oscillations in one direction and smoothness in the other directions, sparsify a property we leverage explicitly with sparsity promotion. With this principle, we recover seismic data with high fidelity from a small subset (20%) of randomly selected traces. Similarly, sparsity leads to a natural decorrelation and hence to a robust curvelet-domain primary-multiple separation for North Sea data. Finally, sparsity helps to recover migration amplitudes from noisy data. With these examples, we show that exploiting the curvelet's ability to sparsify wavefrontlike features is powerful, and our results are a clear indication of the broad applicability of this transform to exploration seismology."
6,Devito (v3. 1.0): an embedded domain-specific language for finite differences and geophysical exploration,254,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hw23CTQAAAAJ&pagesize=50&citation_for_view=hw23CTQAAAAJ:2PyGcyYA7d0C,"We introduce Devito, a new domain-specific language for implementing high-performance finite-difference partial differential equation solvers. The motivating application is exploration seismology for which methods such as full-waveform inversion and reverse-time migration are used to invert terabytes of seismic data to create images of the Earth's subsurface. Even using modern supercomputers, it can take weeks to process a single seismic survey and create a useful subsurface image. The computational cost is dominated by the numerical solution of wave equations and their corresponding adjoints. Therefore, a great deal of effort is invested in aggressively optimizing the performance of these wave-equation propagators for different computer architectures. Additionally, the actual set of partial differential equations being solved and their numerical discretization is under constant innovation as increasingly realistic representations of the physics are developed, further ratcheting up the cost of practical solvers. By embedding a domain-specific language within Python and making heavy use of SymPy, a symbolic mathematics library, we make it possible to develop finite-difference simulators quickly using a syntax that strongly resembles the mathematics. The Devito compiler reads this code and applies a wide range of analysis to generate highly optimized and parallel code. This approach can reduce the development time of a verified and optimized solver from months to days."
7,Randomized sampling and sparsity: Getting more information from fewer samples,253,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hw23CTQAAAAJ&pagesize=50&citation_for_view=hw23CTQAAAAJ:R3hNpaxXUhUC,"Many seismic exploration techniques rely on the collection of massive data volumes that are subsequently mined for information during processing. Although this approach has been extremely successful in the past, current efforts toward higher-resolution images in increasingly complicated regions of the earth continue to reveal fundamental shortcomings in our workflows. Chiefly among these is the so-called “curse of dimensionality” exemplified by Nyquist's sampling criterion, which disproportionately strains current acquisition and processing systems as the size and desired resolution of our survey areas continue to increase. We offer an alternative sampling method leveraging recent insights from compressive sensing toward seismic acquisition and processing for data that are traditionally considered to be undersampled. The main outcome of this approach is a new technology where acquisition and …"
8,A penalty method for PDE-constrained optimization in inverse problems,243,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hw23CTQAAAAJ&pagesize=50&citation_for_view=hw23CTQAAAAJ:WYleWgRJor0C,"Many inverse and parameter estimation problems can be written as PDE-constrained optimization problems. The goal is to infer the parameters, typically coefficients of the PDE, from partial measurements of the solutions of the PDE for several right-hand sides. Such PDE-constrained problems can be solved by finding a stationary point of the Lagrangian, which entails simultaneously updating the parameters and the (adjoint) state variables. For large-scale problems, such an all-at-once approach is not feasible as it requires storing all the state variables. In this case one usually resorts to a reduced approach where the constraints are explicitly eliminated (at each iteration) by solving the PDEs. These two approaches, and variations thereof, are the main workhorses for solving PDE-constrained optimization problems arising from inverse problems. In this paper, we present an alternative method that aims to combine …"
9,"Architecture and performance of Devito, a system for automated stencil computation",214,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hw23CTQAAAAJ&pagesize=50&citation_for_view=hw23CTQAAAAJ:C4Vd9JCM9EcC,"Stencil computations are a key part of many high-performance computing applications, such as image processing, convolutional neural networks, and finite-difference solvers for partial differential equations. Devito is a framework capable of generating highly optimized code given symbolic equations expressed in Python, specialized in, but not limited to, affine (stencil) codes. The lowering process—from mathematical equations down to C++ code—is performed by the Devito compiler through a series of intermediate representations. Several performance optimizations are introduced, including advanced common sub-expressions elimination, tiling, and parallelization. Some of these are obtained through well-established stencil optimizers, integrated in the backend of the Devito compiler. The architecture of the Devito compiler, as well as the performance optimizations that are applied when generating code, are …"
10,Total variation regularization strategies in full-waveform inversion,191,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hw23CTQAAAAJ&pagesize=50&citation_for_view=hw23CTQAAAAJ:_bh1rdP-zDcC,"We propose an extended full-waveform inversion formulation that includes general convex constraints on the model. Though the full problem is highly nonconvex, the overarching optimization scheme arrives at geologically plausible results by solving a sequence of relaxed and warm-started constrained convex subproblems. The combination of box, total variation, and successively relaxed asymmetric total variation constraints allows us to steer free from parasitic local minima while keeping the estimated physical parameters laterally continuous and in a physically realistic range. For accurate starting models, numerical experiments carried out on the challenging 2004 BP velocity benchmark demonstrate that bound and total variation constraints improve the inversion result significantly by removing inversion artifacts, related to source encoding, and by clearly improved delineation of top, bottom, and flanks of a high …"
