Rank,Title,Citations,Year,URL,Description
1,Hints on test data selection: Help for the practicing programmer,2958,2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kK3b1SAAAAAJ&pagesize=50&citation_for_view=kK3b1SAAAAAJ:hqOjcs7Dif8C,In many cases tests of a program that uncover simple errors are also effective in uncovering much more complex errors. This so-called coupling effect can be used to save work during the testing process.
2,On the importance of checking cryptographic protocols for faults,2623,1997,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kK3b1SAAAAAJ&pagesize=50&citation_for_view=kK3b1SAAAAAJ:SP6oXDckpogC,"We present a theoretical model for breaking various cryptographic schemes by taking advantage of random hardware faults. We show how to attack certain implementations of RSA and Rabin signatures. We also show how various authentication protocols, such as Fiat-Shamir and Schnorr, can be broken using hardware faults."
3,Constraint-based automatic test data generation,1196,1991,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kK3b1SAAAAAJ&pagesize=50&citation_for_view=kK3b1SAAAAAJ:CHSYGLWDkRkC,"—This paper presents a new technique for automatically generating test data. The technique is based on mutation analysis and creates test data that approximates relative adequacy. The technique is a fault-based technique that uses algebraic constraints to describe test cases designed to find particular types of faults. A set of tools, collectively called Godzilla, has been implemented that automatically generates constraints and solves them to create test cases for unit and module testing. Godzilla has been integrated with the Mothra testing system and has been used as an effective way to generate test data that kill program mutants. The paper includes an initial list of constraints and discusses some of the problems that have been solved to develop the complete implementation of the technique."
4,Social processes and proofs of theorems and programs,1006,1979,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kK3b1SAAAAAJ&pagesize=50&citation_for_view=kK3b1SAAAAAJ:tS2w5q8j5-wC,"It is argued that formal verifications of programs, no matter how obtained, will not play the same key role in the development of computer science and software engineering as proofs do in mathematics. Furthermore the absence of continuity, the inevitability of change, and the complexity of specification of significantly many real programs make the formal verification process difficult to justify and manage. It is felt that ease of formal verification should not dominate program language design."
5,A probabilistic remark on algebraic program testing.,686,1977,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kK3b1SAAAAAJ&pagesize=50&citation_for_view=kK3b1SAAAAAJ:ufrVoPGSRksC,A key step in Howdens method for algebraic program testing requires checking the algebraic identity of multinomials. Howdens solution requires evaluations in at least 2 to the mth power points for m-ary multinomials. This note presents a probabilistic solution which achieves small probability of error on 30 points.
6,On the importance of eliminating errors in cryptographic computations,674,2001,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kK3b1SAAAAAJ&pagesize=50&citation_for_view=kK3b1SAAAAAJ:YOwf2qJgpHMC,"We present a model for attacking various cryptographic schemes by taking advantage of random hardware faults. The model consists of a black-box containing some cryptographic secret. The box interacts with the outside world by following a cryptographic protocol. The model supposes that from time to time the box is affected by a random hardware fault causing it to output incorrect values. For example, the hardware fault flips an internal register bit at some point during the computation. We show that for many digital signature and identification schemes these incorrect outputs completely expose the secrets stored in the box. We present the following results: (1) The secret signing key used in an implementation of RSA based on the Chinese Remainder Theorem (CRT) is completely exposed from a single erroneous RSA signature, (2) for non-CRT implementations of RSA the secret key is exposed given a large …"
7,Debugging with dynamic slicing and backtracking,474,1993,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kK3b1SAAAAAJ&pagesize=50&citation_for_view=kK3b1SAAAAAJ:j3f4tGmQtD8C,"Programmers spend considerable time debugging code. Symbolic debuggers provide some help but the task remains complex and difficult. Other than breakpoints and tracing, these tools provide little high‐level help. Programmers must perform many tasks manually that the tools could perform automatically, such as finding which statements in the program affect the value of an output variable for a given test case, and what was the value of a given variable when the control last reached a given program location. If debugging tools provided explicit support for these tasks, the debugging process could be automated to a significant extent. In this paper we present a debugging model, based on dynamic program slicing and execution backtracking techniques, that easily lends itself to automation. This model is based on experience with using these techniques to debug software. We also present a prototype debugging …"
8,Design of mutant operators for the C programming language,425,1989,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kK3b1SAAAAAJ&pagesize=50&citation_for_view=kK3b1SAAAAAJ:g5m5HwL7SMYC,"This report documents the classi cation, de nition, rationale, and semantics of the mutant operators designed for the (proposed) ANSI C programming language Kern88]. The design of mutant operators was carried out by the authors of this report over a six month period starting August, 1988.Throughout the report, the following conventions are used:(a) keywords in C are emboldened,(ii) non-terminal symbols from the C grammar are italicized,(iii) mutant operators are emboldened and appear in upper case letters,(iv) mutant operator category names are emboldened and begin with an upper case letter followed by three lower case letters, and (v) P denotes the program under test and hence the program to be mutated. In general, P will consist of several functions that could be mutated individually or as a group depending on how much of P is being tested. This report assumes that the reader is familiar with the underlying theory and techniques of mutation analysis. However, the next section provides an overview of mutation analysis. DeMi79] and DeMi87] contain the in depth background material. The remainder of the report is organized into 13 sections. The next section provides an overview of mutation analysis. Section 3 enumerates the reasons responsible for the mutant operators reported here. Section 4 presents a classi cation of the mutant operators. We expect such a classi cation to be useful for the tool designer1 and for the software tester. Section 5 consolidates the naming conventions used while naming the large number of mutant operators. The conventions are designed to simplify the expansion of the four letter mnemonics for all …"
9,An extended overview of the Mothra software testing environment,403,1988,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kK3b1SAAAAAJ&pagesize=50&citation_for_view=kK3b1SAAAAAJ:maZDTaKrznsC,"The authors give a brief introduction to mutation analysis. They they discuss Mothra, emphasizing how it interacts with the tester. The authors present some major problems with using mutation analysis and discuss possible solutions. They conclude with a solution to one of these problems-a method of automatically generating mutation-adequate data.<>"
10,Software testing and evaluation,368,1987,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kK3b1SAAAAAJ&pagesize=50&citation_for_view=kK3b1SAAAAAJ:WqliGbK-hY8C,"This paper compares three specification-based testing criteria using Mathur and Wong's PROBSUBSUMES measure. The three criteria are specification-mutation coverage, full predicate coverage, and transition-pair coverage. A novel aspect of the..."
