Rank,Title,Citations,Year,URL,Description
1,Jill Watson doesn't care if you're pregnant: Grounding AI ethics in empirical studies,105,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kiR4luIAAAAJ&pagesize=50&citation_for_view=kiR4luIAAAAJ:u-x6o8ySG0sC,"Jill Watson is our name for a virtual teaching assistant for a Georgia Tech course on artificial intelligence: Jill answers routine, frequently asked questions on the class discussion forum. In this paper, we outline some of the ethical issues that arose in the development and deployment of the virtual teaching assistant. We posit that experiments such as Jill Watson are critical for deeply understanding AI ethics."
2,Enrollment motivations in an online graduate CS program: Trends & gender-and age-based differences,33,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kiR4luIAAAAJ&pagesize=50&citation_for_view=kiR4luIAAAAJ:2osOgNQ5qMEC,"Demand for CS education has risen, leading to numerous new programs, such as the rise of affordable online degrees. Research shows these programs meet an otherwise untapped audience of working professionals seeking graduate level CS education. In this study, we examine the motivations for enrollment among students in one such online MSCS program. Based responses to an open ended question, we develop a typology of motivations, including goals (e.g. career transition), opportunities (e.g. enrolling without taking time off work), and assurances that their goals will be met (e..g the program's accreditation). We then issue a closed survey question to a new group of students to further explore these motivations. In this paper, we discuss both aggregate and demographic trends in motivations, including the different motivations of men and women and what they imply about the program's impact on the …"
3,Toward mutual theory of mind as a foundation for co-creation,17,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kiR4luIAAAAJ&pagesize=50&citation_for_view=kiR4luIAAAAJ:d1gkVwhDpl0C,"Despite increasing emphasis on the importance of helping people to understand how computers work, success in teaching new programmers to properly understand languages and how they behave has been limited. Our work focuses on how the cognitive science concept of theory of mind could be applied to better teach computational thinking. We achieve this by creating a prototype that builds a theory of mind for the user’s misconceptions in the context of beginning programming, and then leverages that as a tool for helping the user to build a more accurate mental model of the prototype itself."
4,Components of assessments and grading at scale,14,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kiR4luIAAAAJ&pagesize=50&citation_for_view=kiR4luIAAAAJ:W7OEmFMy1HYC,"One of the major criticisms of efforts towards offering education at scale has been the Trap of Routine Assessment, the risk that student assessment will suffer from becoming excessively simplified in service of automation and scale. In this research, we examine the ways that students in an at-scale graduate program in computer science were assessed during their degrees. The program in question has scaled to over 10,000 students in only a few years, but awards a traditional Master's degree, providing the opportunity to investigate whether scale was achieved by transitioning to more routine assessment or by bringing scale to traditional strategies. To do this, we investigate the syllabi of 52 classes offered through the program to identify the types of assessments used, and we survey teaching teams for their approaches to evaluating these assessments. We merge this data with historical enrollment data to gain an …"
5,Toward Reshaping the Syllabus for Education at Scale,3,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kiR4luIAAAAJ&pagesize=50&citation_for_view=kiR4luIAAAAJ:YsMSGLbcyi4C,"Ensuring that students are fully informed about course content and policies is always a challenge, but online education at scale adds additional complications. In this paper we present observations about the place of the syllabus in education at scale, based on the actual syllabus documents from 48 courses in a Computer Science Master's degree program offered online and at scale. On the basis of these observations, we offer preliminary recommendations for factors that instructors should keep in mind when they compile a syllabus for similar courses."
6,Examining Student Interest and Motivations in Graduate Computer Science Research,2,2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kiR4luIAAAAJ&pagesize=50&citation_for_view=kiR4luIAAAAJ:WbkHhVStYXYC,"The research focuses in academia are typically determined from the top down, with professors focusing on projects that align with their existing lab or can be readily supported by grants. This approach is pragmatic, but this focus may not align with the bottom-up interests of the available student body. As part of a broader effort to expand the available research opportunities in a graduate program in computer science, this work focuses on collecting data on what is motivating student interest in research and what specific fields students desire to study with the intention of using the results for decision-making about how to allocate resources to best match student interests. This work reports on the responses of 143 graduate students in computer science at a major research institution in the United States in a course-based program where access to research opportunities is not guaranteed. It examines both the fields of …"
7,Broadening CS Research Opportunities for Online Graduate Students,2,2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kiR4luIAAAAJ&pagesize=50&citation_for_view=kiR4luIAAAAJ:Tiz5es2fbqcC,"Research opportunities offer students at the master's level a chance to apply their knowledge, create projects for their portfolio, and to gain an understanding of the research process in preparation for potential doctoral studies. The traditional structure of these opportunities, however, is not trivial to translate to online programs with asynchronous delivery. As online programs grow, it is important to examine ways that the traditional benefits of these opportunities can be extended to a broader range of students. In this poster, we discuss our experience building the infrastructure and running early efforts at reaching this goal. We discuss several dedicated courses and seminars developed to offer larger scale opportunities for students to pursue research. We also discuss efforts in active development to provide better infrastructure support to reduce the friction and complexity of pursuing research at scale."
8,An Examination of Unofficial Course Reviews in a Graduate Program at Scale,2,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kiR4luIAAAAJ&pagesize=50&citation_for_view=kiR4luIAAAAJ:b0M2c_1WBrUC,"Past research on the ways that students evaluate their courses has focused largely on how those evaluations relate to the specific course instructor. This research examines a set of data from a public site where students unofficially rate the courses in a very large online graduate program operating at scale. We examine the relationship between the unofficial scores students give to their classes with data on enrollment trends over time and the assessment strategies used within the courses themselves to examine additional actors that shape the ratings students choose, as well as how they use those ratings to choose what courses to take in the future. We find several different notable relationships: reviews in this context are largely impervious to the extreme response bias prevalent on other review sites; review content does not appear to significantly influence enrollment trends; more difficult classes tend to receive …"
9,Student Use of Course Reviews at Scale,2,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kiR4luIAAAAJ&pagesize=50&citation_for_view=kiR4luIAAAAJ:EUQCXRtRnyEC,"Students have developed their own platforms for sharing their evaluations of courses over the Internet. These are typically focused on the needs and experience of students in traditional undergraduate programs, but the rise of online programs operating at scale has made it practical for students to develop such a platform dedicated to their particular program. We have used a survey to gather information from students in such a program at a major research institution in the United States. Through this data we explore how many students are using the site, how they use the information, and also how often and why they write reviews. The ultimate goal is to gather information that could help students to decide how to critically assess such reviews and successfully use them to make better decisions."
10,Intelligent Feedback and Evaluation for the Assessment and Improvement of Student Peer Reviews,1,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kiR4luIAAAAJ&pagesize=50&citation_for_view=kiR4luIAAAAJ:XiSMed-E-HIC,"Research into peer evaluation shows positive effects on student achievement and attitudes. To foster authentic peer reviews, students need to know their peer reviews will be seen and graded. However, the time-consuming nature of assessing feedback makes it impractical for instructors to evaluate thousands of feedback items generated by students in massive online courses. This paper describes the development of a deep learning (DL) tool to help assess the quality of feedback written by students in a peer-review system. We report tool development progress built upon years of student meta-feedback data that consists of numeric scores and written evaluations of the feedback received. We describe: the underlying DL platform, the labeled data set with which the algorithm was trained, the supervised training process, and the performance evaluation of the resulting three-class multiclass classifier. The evaluation …"
11,Taking stock of MOOCs and credit substitutability,1,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kiR4luIAAAAJ&pagesize=50&citation_for_view=kiR4luIAAAAJ:NhqRSupF_l8C,"Since their inception, MOOCs have had a complicated relationship with traditional models of high-stakes, high-value college credit. Early MOOCs were modeled after for-credit courses but were required to be deliberately differentiated from actual for-credit enrollment. Later MOOCs actively separated from for-credit classes, leaving more leeway to experiment with topic, scope, and audience, albeit without the incentive introduced by a connection to a college curriculum. Since then, though, there have been several efforts to relink MOOCs to some form of heavier credential. In this paper, we take inventory of the current landscape of MOOCs and their varying links to college credit. We draw on the idea of credit substitutability as a way of understanding how far from credit a particular course may be. We articulate multiple factors that contribute to substitutability, including scope, assessment, and integrity. Using these …"
12,Giving AI a Theory of Mind,1,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kiR4luIAAAAJ&pagesize=50&citation_for_view=kiR4luIAAAAJ:u5HHmVD_uO8C,"Effective collaboration between humans and artificially intelligent agents will require that the two are equipped to build a sense of mutual understanding with each other. When humans have an intuitive understanding of the motives and intentions of other humans, it is known as Theory of Mind. My work revolves around designing artificial intelligence to leverage this capacity to improve human collaborations with artificial agents."
13,Gaining the Strength to Go Alone: Educational Philosophy in Hyrule,0,2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kiR4luIAAAAJ&pagesize=50&citation_for_view=kiR4luIAAAAJ:K3LRdlH-MEoC,"The original Zelda game on the Nintendo Entertainment System spends very little time telling the player what to do. This chapter provides the most basic information about Link's situation: there's an enemy he needs to defeat, a Princess who has been captured by that enemy, and he's responsible for being the hero to fix the situation. The Great Sky Island in Tears of the Kingdom features a Link who is aware of the state of Hyrule but nonetheless finds himself in a very familiar situation. What truly makes Link a hero is that he never flinches from getting back to his feet and trying again. This is how Link models heroism and a true sense of adventure for the player. He tried to fight for his Kingdom, failed, and immediately started searching for another way, always believing that there was a path to victory."
14,Survey Says: Predicting Student Success from Self-Reported Course Experience,0,2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kiR4luIAAAAJ&pagesize=50&citation_for_view=kiR4luIAAAAJ:738O_yMBCRsC,"This study analyzes patterns of responses from a series of student surveys that predict student success in a CS1 course at a major research university in the United States. The research identifies statistically significant effects on final grades from self-reported course interaction perceptions and preferences, providing insights into designing future studies and potential early interventions."
15,Student Performance Pattern Analysis Across Modalities in an Introduction to Computing Course,0,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kiR4luIAAAAJ&pagesize=50&citation_for_view=kiR4luIAAAAJ:nb7KW1ujOQ8C,"Interaction patterns between students in on-campus and MOOC-style online courses have been broadly studied for the last 11 years. However, there is very little analysis comparing the habits of students completing the same course offered in both a traditional on-campus and MOOC-style online formats. Analyzing the differences in student approach in a direct comparison across modalities will allow researchers to identify effective cross-modality interventions. This study looked at clickstream interaction patterns for students in an ’Introduction to Programming in Python’ edX course representing 7 traditional semester-cadence course instances offered to oncampus students and 4 large-scale MOOC-style course instances offered to all learners to determine what, if any, interaction and performance patterns exist between the two modalities. While significant research has been done to determine the difference between …"
16,Making the Grade: Assessments at Scale in a Large Online Graduate Program,0,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kiR4luIAAAAJ&pagesize=50&citation_for_view=kiR4luIAAAAJ:CHSYGLWDkRkC,"The Trap of Routine Assessment refers to the risk that over time, schools become overly focused on those skills that are easy to automatically assess in order to achieve large-scale, rapid feedback. In this research, we look at an at-scale graduate program in computer science that has achieved scale, and we examine whether scale was largely achieved due to Routine Assessment, due to sophisticated automatic evaluation, or due to scaling more traditional approaches to assessment, such as human grading. To do this, we harvested syllabi from 52 classes in the program to see what types of assignments students complete as part of their enrollment, and we survey the teaching assistants responsible for administering those courses to understand how those assignments are evaluated. Combining this with historical data on course grades and enrollments, we derive a snapshot of the average student's experience in …"
17,Leveraging Mutual Theory of Mind for More Human-like Intelligent Tutoring Systems [Doctoral Symposium],0,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kiR4luIAAAAJ&pagesize=50&citation_for_view=kiR4luIAAAAJ:UeHWp8X0CEIC,Description not available
