Rank,Title,Citations,Year,URL,Description
1,Space-code bloom filter for efficient traffic flow measurement,462,2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mHwonDEAAAAJ&pagesize=50&citation_for_view=mHwonDEAAAAJ:u5HHmVD_uO8C,"Per-flow traffic measurement is critical for usage accounting, traffic engineering, and anomaly detection. Previous methodologies are either based on random sampling (e.g., Cisco's NetFlow), which is inaccurate, or only account for the ""elephants"". Our paper introduces a novel technique for measuring per-flow traffic approximately, for all flows regardless of their sizes, at very high-speed (say, OC192+). The core of this technique is a novel data structure called Space Code Bloom Filter (SCBF). A SCBF is an approximate representation of a multiset; each element in this multiset is a traffic flow and its multiplicity is the number of packets in the flow. SCBF employs a Maximum Likelihood Estimation (MLE) method to measure the multiplicity of an element in the multiset. Through parameter tuning, SCBF allows for graceful tradeoff between measurement accuracy and computational and storage complexity. SCBF also …"
2,Data streaming algorithms for efficient and accurate estimation of flow size distribution,382,2004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mHwonDEAAAAJ&pagesize=50&citation_for_view=mHwonDEAAAAJ:9yKSN-GCB0IC,"Knowing the distribution of the sizes of traffic flows passing through a network link helps a network operator to characterize network resource usage, infer traffic demands, detect traffic anomalies, and accommodate new traffic demands through better traffic engineering. Previous work on estimating the flow size distribution has been focused on making inferences from sampled network traffic. Its accuracy is limited by the (typically) low sampling rate required to make the sampling operation affordable. In this paper we present a novel data streaming algorithm to provide much more accurate estimates of flow distribution, using a ""lossy data structure"" which consists of an array of counters fitted well into SRAM. For each incoming packet, our algorithm only needs to increment one underlying counter, making the algorithm fast enough even for 40 Gbps (OC-768) links. The data structure is lossy in the sense that sizes of …"
3,Data streaming algorithms for estimating entropy of network traffic,297,2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mHwonDEAAAAJ&pagesize=50&citation_for_view=mHwonDEAAAAJ:zYLM7Y9cAGgC,"Using entropy of traffic distributions has been shown to aid a wide variety of network monitoring applications such as anomaly detection, clustering to reveal interesting patterns, and traffic classification. However, realizing this potential benefit in practice requires accurate algorithms that can operate on high-speed links, with low CPU and memory requirements. In this paper, we investigate the problem of estimating the entropy in a streaming computation model. We give lower bounds for this problem, showing that neither approximation nor randomization alone will let us compute the entropy efficiently. We present two algorithms for randomly approximating the entropy in a time and space efficient manner, applicable for use on very high speed (greater than OC-48) links. The first algorithm for entropy estimation is inspired by the structural similarity with the seminal work of Alon et al. for estimating frequency moments …"
4,IP traceback-based intelligent packet filtering: A novel technique for defending against Internet DDoS attacks,277,2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mHwonDEAAAAJ&pagesize=50&citation_for_view=mHwonDEAAAAJ:u-x6o8ySG0sC,"Distributed Denial of Service (DDoS) is one of the most difficult security problems to address. While many existing techniques (e.g., IP traceback) focus on tracking the location of the attackers after-the-fact, little is done to mitigate the effect of an attack while it is raging on. We present a novel technique that can effectively filter out the majority of DDoS traffic, thus improving the overall throughput of the legitimate traffic. The proposed scheme leverages on and generalizes the IP traceback schemes to obtain the information concerning whether a network edge is on the attacking path of an attacker (""infected"") or not (""clean""). We observe that, while an attacker will have all the edges on its path marked as ""infected,"" edges on the path of a legitimate client will mostly be ""clean"". By preferentially filtering out packets that are inscribed with the marks of ""infected"" edges, the proposed scheme removes most of the DDoS traffic …"
5,Prefix-preserving ip address anonymization: Measurement-based security evaluation and a new cryptography-based scheme,271,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mHwonDEAAAAJ&pagesize=50&citation_for_view=mHwonDEAAAAJ:spHKbSKg0FsC,"Real-world traffic traces are crucial for Internet research, but only a very small percentage of traces collected are made public. One major reason why traffic trace owners hesitate to make the traces publicly available is the concern that confidential and private information may be inferred from the trace. We focus on the problem of anonymizing IP addresses in a trace. More specifically, we are interested in prefix-preserving anonymization in which the prefix relationship among IP addresses is preserved in the anonymized trace, making such a trace usable in situations where prefix relationships are important. The goal of our work is two fold. First, we develop a cryptography-based, prefix-preserving anonymization technique that is provably as secure as the existing well-known TCPdpriv scheme, and unlike TCPdpriv, provides consistent prefix-preservation in large scale distributed setting. Second, we evaluate the …"
6,Sustaining availability of web services under distributed denial of service attacks,263,2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mHwonDEAAAAJ&pagesize=50&citation_for_view=mHwonDEAAAAJ:qjMakFHDy7sC,"The recent tide of Distributed Denial of Service (DDoS) attacks against high-profile web sites demonstrate how devastating DDoS attacks are and how defenseless the Internet is under such attacks. We design a practical DDoS defense system that can protect the availability of web services during severe DDoS attacks. The basic idea behind our system is to isolate and protect legitimate traffic from a huge volume of DDoS traffic when an attack occurs. Traffic that needs to be protected can be recognized and protected using efficient cryptographic techniques. Therefore, by provisioning adequate resource (e.g., bandwidth) to legitimate traffic separated by this process, we are able to provide adequate service to a large percentage of clients during DDoS attacks. The worst-case performance (effectiveness) of the system is evaluated based on a novel game theoretical framework, which characterizes the natural …"
7,On the fundamental tradeoffs between routing table size and network diameter in peer-to-peer networks,255,2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mHwonDEAAAAJ&pagesize=50&citation_for_view=mHwonDEAAAAJ:IjCSPb-OGe4C,"We study a fundamental tradeoff issue in designing distributed hash table (DHT) in peer-to-peer networks: the size of the routing table v.s. the network diameter. It was observed by Ratnasamy et al. that existing DHT schemes either (a) have a routing table of size /spl Oscr/(log/sub 2/n) and network diameter of /spl Omega/(log/sub 2/n), or (b) have a routing table of size d and network diameter of /spl Omega/(n/sup 1/d/). They asked whether this represents the best asymptotic ""state-efficiency"" tradeoffs. Our first major result is to show that there are straightforward routing algorithms, which achieve better asymptotic tradeoffs. However, such algorithms all cause severe congestion on certain network nodes, which is undesirable in a P2P network. We then rigorously define the notion of ""congestion"" and conjecture that the above tradeoffs are asymptotically optimal for a congestion-free network. In studying this conjecture …"
8,Large-scale IP traceback in high-speed Internet: Practical techniques and theoretical foundation,232,2004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mHwonDEAAAAJ&pagesize=50&citation_for_view=mHwonDEAAAAJ:d1gkVwhDpl0C,"Tracing attack packets to their sources, known as IP traceback, is an important step to counter distributed denial-of-service (DDoS) attacks. In this paper, we propose a novel packet logging based (i.e., hash-based) traceback scheme that requires an order of magnitude smaller processing and storage cost than the hash-based scheme proposed by Snoeren, et al. (2001), thereby being able to scalable to much higher link speed (e.g., OC-768). The baseline idea of our approach is to sample and log a small percentage (e.g., 3.3%) of packets. The challenge of this low sampling rate is that much more sophisticated techniques need to be used for traceback. Our solution is to construct the attack tree using the correlation between the attack packets sampled by neighboring routers. The scheme using naive independent random sampling does not perform well due to the low correlation between the packets sampled by …"
9,Efficient and scalable query routing for unstructured peer-to-peer networks,221,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mHwonDEAAAAJ&pagesize=50&citation_for_view=mHwonDEAAAAJ:2osOgNQ5qMEC,"Searching for content in peer-to-peer networks is an interesting and challenging problem. Queries in Gnutella-like unstructured systems that use flooding or random walk to search must visit O(n) nodes in a network of size n, thus consuming significant amounts of bandwidth. In this paper, we propose a query routing protocol that allows low bandwidth consumption during query forwarding using a low cost mechanism to create and maintain information about nearby objects. To achieve this, our protocol maintains a lightweight probabilistic routing table at each node that suggests the location of each object in the network. Following the corresponding routing table entries, a query can reach the destination in a small number of hops with high probability. However, maintaining routing tables in a large and highly dynamic network requires non-traditional mechanisms. We design a novel data structure called an …"
10,Prefix-preserving IP address anonymization: measurement-based security evaluation and a new cryptography-based scheme,221,2004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mHwonDEAAAAJ&pagesize=50&citation_for_view=mHwonDEAAAAJ:UeHWp8X0CEIC,"Real-world traffic traces are crucial for Internet research, but only a very small percentage of traces collected are made public. One major reason why traffic trace owners hesitate to make the traces publicly available is the concern that confidential and private information may be inferred from the trace. In this paper we focus on the problem of anonymizing IP addresses in a trace. More specifically, we are interested in prefix-preserving anonymization in which the prefix relationship among IP addresses is preserved in the anonymized trace, making such a trace usable in situations where prefix relationships are important. The goal of our work is two fold. First, we develop a cryptography-based, prefix-preserving anonymization technique that is provably as secure as the existing well-known TCPdpriv scheme, and unlike TCPdpriv, provides consistent prefix-preservation in large scale distributed setting. Second, we …"
