Rank,Title,Citations,Year,URL,Description
1,{INFaaS}: Automated model-less inference serving,453,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mSw8KfIAAAAJ&pagesize=50&citation_for_view=mSw8KfIAAAAJ:3fE2CSJIrl8C,"Despite existing work in machine learning inference serving, ease-of-use and cost efficiency remain challenges at large scales. Developers must manually search through thousands of model-variants–versions of already-trained models that differ in hardware, resource footprints, latencies, costs, and accuracies–to meet the diverse application requirements. Since requirements, query load, and applications themselves evolve over time, these decisions need to be made dynamically for each inference query to avoid excessive costs through naive autoscaling. To avoid navigating through the large and complex trade-off space of model-variants, developers often fix a variant across queries, and replicate it when load increases. However, given the diversity across variants and hardware platforms in the cloud, a lack of understanding of the trade-off space can incur significant costs to developers. This paper introduces INFaaS, an automated model-less system for distributed inference serving, where developers simply specify the performance and accuracy requirements for their applications without needing to specify a specific model-variant for each query. INFaaS generates model-variants from already trained models, and efficiently navigates the large trade-off space of model-variants on behalf of developers to meet application-specific objectives:(a) for each query, it selects a model, hardware architecture, and model optimizations,(b) it combines VM-level horizontal autoscaling with model-level autoscaling, where multiple, different modelvariants are used to serve queries within each machine. By leveraging diverse variants and sharing hardware …"
2,From laptop to lambda: Outsourcing everyday jobs to thousands of transient functional containers,306,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mSw8KfIAAAAJ&pagesize=50&citation_for_view=mSw8KfIAAAAJ:zYLM7Y9cAGgC,"We present gg, a framework and a set of command-line tools that helps people execute everyday applications—eg, software compilation, unit tests, video encoding, or object recognition—using thousands of parallel threads on a cloudfunctions service to achieve near-interactive completion times. In the future, instead of running these tasks on a laptop, or keeping a warm cluster running in the cloud, users might push a button that spawns 10,000 parallel cloud functions to execute a large job in a few seconds from start. gg is designed to make this practical and easy. With gg, applications express a job as a composition of lightweight OS containers that are individually transient (lifetimes of 1–60 seconds) and functional (each container is hermetically sealed and deterministic). gg takes care of instantiating these containers on cloud functions, loading dependencies, minimizing data movement, moving data between containers, and dealing with failure and stragglers. We ported several latency-sensitive applications to run on gg and evaluated its performance. In the best case, a distributed compiler built on gg outperformed a conventional tool (icecc) by 2–5×, without requiring a warm cluster running continuously. In the worst case, gg was within 20% of the hand-tuned performance of an existing tool for video encoding (ExCamera)."
3,Faa $ t: A transparent auto-scaling cache for serverless applications,179,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mSw8KfIAAAAJ&pagesize=50&citation_for_view=mSw8KfIAAAAJ:roLk4NBRz8UC,"Function-as-a-Service (FaaS) has become an increasingly popular way for users to deploy their applications without the burden of managing the underlying infrastructure. However, existing FaaS platforms rely on remote storage to maintain state, limiting the set of applications that can be run efficiently. Recent caching work for FaaS platforms has tried to address this problem, but has fallen short: it disregards the widely different characteristics of FaaS applications, does not scale the cache based on data access patterns, or requires changes to applications. To address these limitations, we present Faa$T, a transparent auto-scaling distributed cache for serverless applications. Each application gets its own cache. After a function executes and the application becomes inactive, the cache is unloaded from memory with the application. Upon reloading for the next invocation, Faa$T pre-warms the cache with objects …"
4,Llama: A heterogeneous & serverless framework for auto-tuning video analytics pipelines,154,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mSw8KfIAAAAJ&pagesize=50&citation_for_view=mSw8KfIAAAAJ:eQOLeE2rZwMC,"The proliferation of camera-enabled devices and large video repositories has led to a diverse set of video analytics applications. These applications rely on video pipelines, represented as DAGs of operations, to transform videos, process extracted metadata, and answer questions like, ""Is this intersection congested?"" The latency and resource efficiency of pipelines can be optimized using configurable knobs for each operation (e.g., sampling rate, batch size, or type of hardware used). However, determining efficient configurations is challenging because (a) the configuration search space is exponentially large, and (b) the optimal configuration depends on users' desired latency and cost targets, (c) input video contents may exercise different paths in the DAG and produce a variable amount intermediate results. Existing video analytics and processing systems leave it to the users to manually configure operations and …"
5,Mage: Online and interference-aware scheduling for multi-scale heterogeneous systems,75,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mSw8KfIAAAAJ&pagesize=50&citation_for_view=mSw8KfIAAAAJ:qjMakFHDy7sC,"Heterogeneity has grown in popularity both at the core and server level as a way to improve both performance and energy efficiency. However, despite these benefits, scheduling applications in heterogeneous machines remains challenging. Additionally, when these heterogeneous resources accommodate multiple applications to increase utilization, resources are prone to contention, destructive interference, and unpredictable performance. Existing solutions examine heterogeneity either across or within a server, leading to missed performance and efficiency opportunities. We present Mage, a practical interference-aware runtime that optimizes performance and efficiency in systems with intra- and inter-server heterogeneity. Mage leverages fast and online data mining to quickly explore the space of application placements, and determine those that minimize interference between co-resident applications. Mage …"
6,Predicting therapist empathy in motivational interviews using language features inspired by psycholinguistic norms.,73,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mSw8KfIAAAAJ&pagesize=50&citation_for_view=mSw8KfIAAAAJ:2osOgNQ5qMEC,"Therapist language plays a critical role in influencing the overall quality of psychotherapy. Notably, it is a major contributor to the perceived level of empathy expressed by therapists, a primary measure for judging their efficacy. We explore psycholinguistics inspired features for predicting therapist empathy. These features model language which conveys information about affective and cognitive processes, which is central to the therapist expressing understanding of the patient’s perspective. We describe the dimensional features obtained based on psycholinguisitic norms, and their application to predicting empathy expressed in motivational interviewing sessions for addiction counseling. We compare these to standard lexical features (n-grams) and demonstrate that these features contain complementary information for predicting therapist empathy. The highest empathy prediction results achieved are 75.28% UAR and 0.6112 Spearman’s correlation."
7,Interference-aware scheduling for inference serving,52,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mSw8KfIAAAAJ&pagesize=50&citation_for_view=mSw8KfIAAAAJ:LkGwnXOMwfcC,"Machine learning inference applications have proliferated through diverse domains such as healthcare, security, and analytics. Recent work has proposed inference serving systems for improving the deployment and scalability of models. To improve resource utilization, multiple models can be co-located on the same backend machine. However, co-location can cause latency degradation due to interference and can subsequently violate latency requirements. Although interference-aware schedulers for general workloads have been introduced, they do not scale appropriately to heterogeneous inference serving systems where the number of co-location configurations grows exponentially with the number of models and machine types. This paper proposes an interference-aware scheduler for heterogeneous inference serving systems, reducing the latency degradation from co-location interference. We characterize …"
8,A case for managed and model-less inference serving,46,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mSw8KfIAAAAJ&pagesize=50&citation_for_view=mSw8KfIAAAAJ:UeHWp8X0CEIC,"The number of applications relying on inference from machine learning models, especially neural networks, is already large and expected to keep growing. For instance, Facebook applications issue tens-of-trillions of inference queries per day with varying performance, accuracy, and cost constraints. Unfortunately, today's inference serving systems are neither easy to use nor cost effective. Developers must manually match the performance, accuracy, and cost constraints of their applications to a large design space that includes decisions such as selecting the right model and model optimizations, selecting the right hardware architecture, selecting the right scale-out factor, and avoiding cold-start effects. These interacting decisions are difficult to make, especially when the application load varies over time, applications evolve over time, and the available resources vary over time. If we want an increasing number of …"
9,Optimizing video analytics with declarative model relationships,44,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mSw8KfIAAAAJ&pagesize=50&citation_for_view=mSw8KfIAAAAJ:KlAtU1dfN6UC,"The availability of vast video collections and the accuracy of ML models has generated significant interest in video analytics systems. Since naively processing all frames using expensive models is impractical, researchers have proposed optimizations such as selectively using faster but less accurate models to replace or filter frames for expensive models. However, these optimizations are difficult to apply on queries with multiple predicates and models, as users must manually explore a large optimization space. Without significant systems expertise or time investment, an analyst may manually create an execution plan that is unnecessarily expensive and/or terribly inaccurate.We propose Relational Hints, a declarative interface that allows users to suggest ML model relationships based on domain knowledge. Users can express two key relationships: when a model can replace another (CAN REPLACE) and when a model can be used to filter frames for another (CAN FILTER). We aim to design an interface to express model relationships informed by domain specific knowledge and define the constraints by which these relationships hold. We then present the VIVA video analytics system that uses relational hints to optimize SQL queries on video datasets. VIVA automatically selects and validates the hints applicable to the query, generates possible query plans using a formal set of transformations, and finds the best performance plan that meets a user’s accuracy requirements. VIVA relieves users from rewriting and manually optimizing video queries as new models become available and execution environments evolve. We evaluate VIVA …"
10,VIVA: An End-to-End System for Interactive Video Analytics.,43,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mSw8KfIAAAAJ&pagesize=50&citation_for_view=mSw8KfIAAAAJ:kNdYIx-mwKoC,"The growth of video volumes and increased DNN capabilities has led to a growing desire for video analytics. In response, the data analytics community has proposed multiple systems that optimize specific query types (eg, selection queries) or a particular step in query execution (eg, video retrieval from storage). However, none of these systems provide end-to-end, practical video analytics for users to iteratively and interactively engage with queries, as is the case with analytics systems for structured data. In response, we are building VIVA: an end-to-end system for interactive video analytics. VIVA contains five novel components. First, VIVA uses relational hints, which allow users to express relationships between columns that are difficult to automatically infer (eg, mentions of a person in a transcript can be used as a proxy for the person appearing in the video). Second, VIVA introduces a mixed-data query optimizer that optimizes queries across both structured and unstructured data. Third, VIVA features an embedding cache that decides which results/embeddings to store for future queries. Finally, VIVA co-optimizes storage and query execution with its video file manager and accelerator-based execution engine. The former decides how to pre-fetch/manage video, while the latter selects and manages heterogeneous hardware backends spanning the growing number of DNN accelerators. We describe the challenges and design requirements for VIVA’s development and outline ongoing and future work for realizing VIVA."
