Rank,Title,Citations,Year,URL,Description
1,The evolution of engagements and social bonds during child-parent co-design,97,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=n6zdTxUAAAAJ&pagesize=50&citation_for_view=n6zdTxUAAAAJ:hqOjcs7Dif8C,"Partnering with parents and children in the design process can be important for producing technologies that take into consideration the rich context of family life. However, to date, few studies have examined the actual process of designing with families and their children. Without understanding the process, we risk making poor design choices in user-interactive experiences that take into account important family dynamics. The purpose of this investigation is to understand how parent-child relationships in families shape co-design processes and how they are reshaped through co-design. We document the evolutionary process and outcomes that exist in co-design partnerships between researchers and families. We found that parents' engagement patterns shifted more slowly than that of children's from observing and facilitating to design partnering practices. Our analysis suggests the importance of establishing and …"
2,Detecting and notifying of various potential hazards,62,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=n6zdTxUAAAAJ&pagesize=50&citation_for_view=n6zdTxUAAAAJ:8k81kl-MbHgC,(57) ABSTRACT A method for detecting and notifying of various potential hazards may include receiving a plurality of biometric data values by a first set of sensors of a sensing device. The biometric data values may correspond to a health state of a person. A plurality of environmental data values may be received by a second set of sensors of the sensing device.The environmental data values may correspond to a safety state of an environment that the person is in. The sensing device may compare the plurality of biometric data and environmental data values against respective models of biometric and environmental threshold data values that indicate a likelihood of a person or environment in an unhealthy or unsafe state. The sensing device may notify one or more communication devices if at least one of the biometric or environmental data values exceeds at least one of the threshold data values.
3,Going global: Understanding English language learners’ student motivation in English-language MOOCs,57,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=n6zdTxUAAAAJ&pagesize=50&citation_for_view=n6zdTxUAAAAJ:YOwf2qJgpHMC,"Massive Open Online Courses (MOOCs) offer high quality, free courses to anyone with an Internet connection. However, these courses may be relatively inaccessible to the large global population of students who are English Language Learners (ELLs). Current efforts to understand student motivation in MOOCs do not take into account the specific needs of ELL students. Through interviews with 12 ELL online students, and a survey with 20,084 ELL respondents, we investigate ELL students’ motivations for taking online courses. We show that ELL students’ motivations are highly socialized strategies for achieving long-term goals of economic, social, and geographic mobility. Although research studies show that ELLs interact sparingly with other students in MOOCs, we present evidence that they have unmet needs for interaction, and discuss how student interaction systems in MOOCs can better address these needs …"
4,Designing Appropriate Learning Technologies for School vs Home Settings in Tanzanian Rural Villages,46,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=n6zdTxUAAAAJ&pagesize=50&citation_for_view=n6zdTxUAAAAJ:qxL8FJ1GzNcC,"Smartphone- and tablet-based learning systems are often posited as solutions for closing early literacy gaps between rural and urban regions in emerging economies. These systems are often developed based on experiences with students in urban contexts, limiting their success rates with children from rural areas who have had little to no prior exposure to technology. To explore how such technologies are used in different learning contexts, we deployed an early literacy learning application in school and home settings in a rural village in Tanzania. We use Rogoff's theory of instructional models to understand and describe the interaction between learners, adults, and peers. We found that in the presence of a school teacher, the instructional model was primarily ""adult-run"" where information was almost entirely disseminated by the teacher, while in home settings, the instructional model was similar to a ""community …"
5,Understanding ESL students' motivations to increase MOOC accessibility,36,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=n6zdTxUAAAAJ&pagesize=50&citation_for_view=n6zdTxUAAAAJ:0EnyYjriUFMC,"Massive Open Online Courses (MOOCs) have the potential to bridge education and literacy gaps by offering high quality, free courses to anyone with an Internet connection. MOOCs in their present state, however, may be relatively inaccessible to non-native English speakers, as a majority of MOOC content is in the English language. While a potential solution is to translate all MOOC content into all languages, it is not known whether this solution will satisfy the learning goals of all English as a Second Language (ESL) speakers. Through a series of interviews, we investigate ESL speakers' motivations for taking MOOCs and other online courses. Our findings show that ESL speakers have a variety of motivations for taking online courses that are not captured in current surveys, which implies that current one-size-fits-all approaches to increasing MOOC accessibility for learners with a first language other than English …"
6,Personalized assistive web for improving mobile web browsing and accessibility for visually impaired users,35,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=n6zdTxUAAAAJ&pagesize=50&citation_for_view=n6zdTxUAAAAJ:KlAtU1dfN6UC,"Mobile web browsing has become a daily routine for many people, including those with visual impairments. However, usability and accessibility challenges of mobile handheld devices may compromise the benefits of mobile web access, particularly for users with visual impairments. To improve mobile web accessibility, we propose a Personalized Assistive Web (PAW) that aims to improve skimming in mobile web browsing for users with visual impairments through hierarchical outline view and personalization adaptations in this research. We empirically evaluated PAW via a controlled lab experiment with 21 blind participants and 34 sighted participants. The empirical results provide strong evidence for the positive impacts of the hierarchical outline view adaptation on user performance of information search (i.e., search time) and perceptions (i.e., perceived ease of use and perceived usefulness) across the two …"
7,How do English language learners interact with different content types in MOOC videos?,30,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=n6zdTxUAAAAJ&pagesize=50&citation_for_view=n6zdTxUAAAAJ:_kc_bZDykSQC,"English Language Learners (ELLs) are a substantial portion of the students who enroll in MOOCs. In order to fulfill the promise of MOOCs – i.e., making higher education accessible to everyone with an internet connection – appropriate interventions should be offered to students who struggle with the language of course content. Through the analysis of clickstream log data gathered from two MOOC courses deployed on Coursera, Introduction to Psychology and Statistical Thermodynamics, we show that compared to native English speakers, ELL students have distinct behavioral patterns in how they engage with MOOC content including increased interaction with content that contains text, increased seeking away from content without visual support, and decreased video play rates. These patterns are expressed differently in response to different types of course content and domains. Our findings not only suggest …"
8,Privacy and fear in the drone era: Preserving privacy expectations through technology,30,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=n6zdTxUAAAAJ&pagesize=50&citation_for_view=n6zdTxUAAAAJ:M3ejUd6NZC8C,"The increasing use of unmanned aerial vehicles (i.e. drones) is raising a number of privacy issues. The high-resolution cameras that drones can carry may pose serious privacy hazards to the general public. Numerous media stories highlight incidents of drones spying on people, often with negative consequences (e.g. lawsuits and arrests). Our research seeks to understand how incorporating privacy-preserving technologies in drone design can mitigate privacy fears. We identify several classes of privacy-preserving technological solutions and evaluate their potential efficacy across a variety of situations through a Mechanical Turk survey of 7,200 respondents. Our results inform both drone designers and regulators who wish to develop, operate, and/or regulate novel drone services while assuaging public fears of privacy violations."
9,Learning from African Classroom Pedagogy to Increase Student Engagement in Education Technologies,28,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=n6zdTxUAAAAJ&pagesize=50&citation_for_view=n6zdTxUAAAAJ:7PzlFSSx8tAC,"Tablet-based educational technologies provide a supplement to traditional classroom-based early literacy education, especially in regions with limited schooling resources. Prior work has probed how children generally interact with and learn from these technologies, however, there is limited research on student engagement with applications that utilize valuable input techniques such as automatic handwriting and speech recognition. In our study, we designed and field-tested early literacy speech and handwriting recognition applications with the primary aim of maximizing student engagement. We designed the applications based on prior research insights and classroom observations from our target population and field-tested the applications with 283 children living in rural Tanzania. We found that observing a small set of classrooms can produce design insights that increase engagement on tablet-based learning …"
10,Co-designing an AI curriculum with university researchers and middle school teachers,23,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=n6zdTxUAAAAJ&pagesize=50&citation_for_view=n6zdTxUAAAAJ:_Qo2XoVZTnwC,"Over the past year, our AI4GA team of university faculty and middle school teachers have co-designed a middle school AI curriculum. In this poster we share how we used co-design both as a tool for collaboratively developing engaging AI activities and as a mechanism for mutual professional development. We explain our co-design process, give examples of curriculum materials provided to teachers, and showcase several teacher-created activities. We believe this approach to curriculum development centers the lived experiences of teachers and leverages the knowledge and expertise of university researchers to create high quality and engaging AI learning experiences for K-12 students."
