Rank,Title,Citations,Year,URL,Description
1,Nuzzer: A large-scale device-free passive localization system for wireless environments,450,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nuiUbpsAAAAJ&pagesize=50&citation_for_view=nuiUbpsAAAAJ:UeHWp8X0CEIC,"The widespread usage of WLANs and mobile devices has fostered the interest in localization systems for wireless environments. The majority of research in the context of wireless-based localization systems has focused on device-based active localization, in which devices are attached to tracked entities. Recently, device-free passive localization (DfP) has been proposed where the tracked entity is neither required to carry devices nor to participate actively in the localization process. Previous studies have focused on small areas and/or controlled environments. In this paper, we present the design, implementation, and analysis of Nuzzer, a large-scale DfP localization system, which tracks entities in real environments, rich in multipath. We first present probabilistic techniques for DfP localization of a single entity and evaluate their performance both analytically and in typical office buildings. Our results show that …"
2,RASID: A robust WLAN device-free passive motion detection system,296,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nuiUbpsAAAAJ&pagesize=50&citation_for_view=nuiUbpsAAAAJ:AXkvAH5U_nMC,"WLAN Device-free passive (DfP) indoor localization is an emerging technology enabling the localization of entities that do not carry any devices nor participate actively in the localization process using the already installed wireless infrastructure. This technology is useful for a variety of applications such as intrusion detection, smart homes and border protection. We present the design, implementation and evaluation of RASID, a DfP system for human motion detection. RASID combines different modules for statistical anomaly detection while adapting to changes in the environment to provide accurate, robust, and low-overhead detection of human activities using standard WiFi hardware. Evaluation of the system in two different testbeds shows that it can achieve an accurate detection capability in both environments with an F-measure of at least 0.93. In addition, the high accuracy and low overhead performance are …"
3,Carousel: Scalable traffic shaping at end hosts,180,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nuiUbpsAAAAJ&pagesize=50&citation_for_view=nuiUbpsAAAAJ:anf4URPfarAC,"Traffic shaping, including pacing and rate limiting, is fundamental to the correct and efficient operation of both datacenter and wide area networks. Sample use cases include policy-based bandwidth allocation to flow aggregates, rate-based congestion control algorithms, and packet pacing to avoid bursty transmissions that can overwhelm router buffers. Driven by the need to scale to millions of flows and to apply complex policies, traffic shaping is moving from network switches into the end hosts, typically implemented in software in the kernel networking stack. In this paper, we show that the performance overhead of end-host traffic shaping is substantial limits overall system scalability as we move to thousands of individual traffic classes per server. Measurements from production servers show that shaping at hosts consumes considerable CPU and memory, unnecessarily drops packets, suffers from head of line …"
4,Ichnaea: A low-overhead robust WLAN device-free passive localization system,136,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nuiUbpsAAAAJ&pagesize=50&citation_for_view=nuiUbpsAAAAJ:KaMxkj08jr0C,"WLAN Device-free passive (DfP) indoor localization is an emerging technology enabling the localization of entities that do not carry any devices nor participate actively in the localization process using the already installed wireless infrastructure. Current state-of-the-art DfP localization systems require a large overhead to construct an RF profile for the environment, that is then used as a reference for either motion detection or tracking. These profiles are also not robust to changes in the environment, requiring frequent manual maintenance or reconstruction. In this paper, we present the design, implementation and evaluation of Ichnaea, an accurate, robust, and low-overhead DfP localization system. Ichnaea uses a lightweight, typically two minutes, training period to learn the silence profile of the environment. It then applies statistical anomaly detection techniques and particle filtering, while adapting to changes in the …"
5,Annulus: A Dual Congestion Control Loop for Datacenter and WAN Traffic Aggregates,101,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nuiUbpsAAAAJ&pagesize=50&citation_for_view=nuiUbpsAAAAJ:r_AWSJRzSzQC,"Cloud services are deployed in datacenters connected though high-bandwidth Wide Area Networks (WANs). We find that WAN traffic negatively impacts the performance of datacenter traffic, increasing tail latency by 2.5x, despite its small bandwidth demand. This behavior is caused by the long round-trip time (RTT) for WAN traffic, combined with limited buffering in datacenter switches. The long WAN RTT forces datacenter traffic to take the full burden of reacting to congestion. Furthermore, datacenter traffic changes on a faster time-scale than the WAN RTT, making it difficult for WAN congestion control to estimate available bandwidth accurately. We present Annulus, a congestion control scheme that relies on two control loops to address these challenges. One control loop leverages existing congestion control algorithms for bottlenecks where there is only one type of traffic (i.e., WAN or datacenter). The other loop …"
6,Eiffel: Efficient and Flexible Software Packet Scheduling.,89,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nuiUbpsAAAAJ&pagesize=50&citation_for_view=nuiUbpsAAAAJ:IRz6iEL74y4C,"Packet scheduling determines the ordering of packets in a queuing data structure with respect to some ranking function that is mandated by a scheduling policy. It is the core component in many recent innovations to optimize network performance and utilization. Our focus in this paper is on the design and deployment of packet scheduling in software. Software schedulers have several advantages over hardware including shorter development cycle and flexibility in functionality and deployment location. We substantially improve current software packet scheduling performance, while maintaining flexibility, by exploiting underlying features of packet ranking; namely, packet ranks are integers and, at any point in time, fall within a limited range of values. We introduce Eiffel, a novel programmable packet scheduling system. At the core of Eiffel is an integer priority queue based on the Find First Set (FFS) instruction and designed to support a wide range of policies and ranking functions efficiently. As an even more efficient alternative, we also propose a new approximate priority queue that can outperform FFS-based queues for some scenarios. To support flexibility, Eiffel introduces novel programming abstractions to express scheduling policies that cannot be captured by current, stateof-the-art scheduler programming models. We evaluate Eiffel in a variety of settings and in both kernel and userspace deployments. We show that it outperforms state of the art systems by 3-40x in terms of either number of cores utilized for network processing or number of flows given fixed processing capacity."
7,Overload Control for {µs-scale}{RPCs} with Breakwater,81,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nuiUbpsAAAAJ&pagesize=50&citation_for_view=nuiUbpsAAAAJ:ZzlSgRqYykMC,"Modern datacenter applications are composed of hundreds of microservices with high degrees of fanout. As a result, they are sensitive to tail latency and require high request throughputs. Maintaining these characteristics under overload is difficult, especially for RPCs with short service times. In this paper, we consider the challenging case of microsecond-scale RPCs, where the cost of communicating information and dropping a request is similar to the cost of processing a request. We present Breakwater, an overload control scheme that can prevent overload in microsecond-scale services through a new, server-driven admission control scheme that issues credits based on server-side queueing delay. Breakwater contributes several techniques to amortize communication costs. It engages in demand speculation, where it assumes clients have unmet demand and issues additional credits when the server is not overloaded. Moreover, it piggybacks client-side demand information in RPC requests and credits in RPC responses. To cope with the occasional bursts in load caused by demand speculation, Breakwater drops requests when overloaded using active queue management. When clients’ demand spikes unexpectedly to 1. 4× capacity, Breakwater converges to stable performance in less than 20 ms with no congestion collapse while DAGOR and SEDA take 500 ms and 1.58 s to recover from congestion collapse, respectively."
8,Toward formally verifying congestion control behavior,68,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nuiUbpsAAAAJ&pagesize=50&citation_for_view=nuiUbpsAAAAJ:4xDN1ZYqzskC,"The diversity of paths on the Internet makes it difficult for designers and operators to confidently deploy new congestion control algorithms (CCAs) without extensive real-world experiments, but such capabilities are not available to most of the networking community. And even when they are available, understanding why a CCA underperforms by trawling through massive amounts of statistical data from network connections is challenging. The history of congestion control is replete with many examples of surprising and unanticipated behaviors unseen in simulation but observed on real-world paths. In this paper, we propose initial steps toward modeling and improving our confidence in a CCA's behavior. We have developed CCAC, a tool that uses formal verification to establish certain properties of CCAs. It is able to prove hypotheses about CCAs or generate counterexamples for invalid hypotheses. With CCAC, a …"
9,Device and method for scalable traffic shaping with a time-indexed data structure,53,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nuiUbpsAAAAJ&pagesize=50&citation_for_view=nuiUbpsAAAAJ:jE2MZjpN3IcC,Systems and methods of performing rate limiting traffic shaping with a time-indexed data structure in a network device are provided. A network interface driver of the network device can received packets at the packet layer of a network host from a plurality of applications. The network interface driver can prevent one of the applications from sending additional packets for transmission until the appli cation received a transmission completion notification indi cating a packet previously forwarded to the packet layer of the network host has been transmitted. The network inter face driver can process the received packets to determine a transmission time for each packet based on at least on rate limit policy. The network interface driver can store an identifier associated with the respective packet in a time indexed data structure at a position associated with the transmission time determined for the packet. The network interface …
10,Argus: realistic target coverage by drones,50,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nuiUbpsAAAAJ&pagesize=50&citation_for_view=nuiUbpsAAAAJ:PYBJJbyH-FwC,"Low-cost mini-drones with advanced sensing and maneuverability enable a new class of intelligent visual sensing systems. This potential motivated several research efforts to employ drones as standalone surveillance systems or to assist legacy deployments. However, several fundamental challenges remain unsolved including: 1) Adequate coverage of sizable targets; 2) Target orientation that render coverage effective only from certain directions; 3) Occlusion by elements in the environment, including other targets. In this paper, we present Argus, a system that provides visual coverage of wide and oriented targets, using camera-mounted drones, taking into account the challenges stated above. Argus relies on a geometric model that captures both target shapes and coverage constraints. With drones being the scarcest resource in Argus, we study the problem of minimizing the number of drones required to cover a …"
