Rank,Title,Citations,Year,URL,Description
1,Issues and future directions in traffic classification,858,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oZNdAREAAAAJ&pagesize=50&citation_for_view=oZNdAREAAAAJ:Zph67rFs4hoC,"Traffic classification technology has increased in relevance this decade, as it is now used in the definition and implementation of mechanisms for service differentiation, network design and engineering, security, accounting, advertising, and research. Over the past 10 years the research community and the networking industry have investigated, proposed and developed several classification approaches. While traffic classification techniques are improving in accuracy and efficiency, the continued proliferation of different Internet application behaviors, in addition to growing incentives to disguise some applications to avoid filtering or blocking, are among the reasons that traffic classification remains one of many open problems in Internet research. In this article we review recent achievements and discuss future directions in traffic classification, along with their trade-offs in applicability, reliability, and privacy. We outline …"
2,A tool for the generation of realistic network workload for emerging networking scenarios,649,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oZNdAREAAAAJ&pagesize=50&citation_for_view=oZNdAREAAAAJ:_kc_bZDykSQC,"Internet workload is a mix of many and complex sources. Therefore, its accurate and realistic replication is a difficult and challenging task. Such difficulties are exacerbated by the multidimensional heterogeneity and scale of the current Internet combined with its constant evolution. The study and generation of network workload is a moving target, both in terms of actors (devices, access networks, protocols, applications, services) and in terms of case studies (the interest expands from performance analysis to topics like network neutrality and security). In order to keep up with the new questions that arise and with the consequent new technical challenges, networking research needs to continuously update its tools. In this paper, we describe the main properties that a network workload generator should have today, and we present a tool for the generation of realistic network workload that can be used for the study of …"
3,Analysis of country-wide internet outages caused by censorship,367,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oZNdAREAAAAJ&pagesize=50&citation_for_view=oZNdAREAAAAJ:LkGwnXOMwfcC,"In the first months of 2011, Internet communications were disrupted in several North African countries in response to civilian protests and threats of civil war. In this paper we analyze episodes of these disruptions in two countries: Egypt and Libya. Our analysis relies on multiple sources of large-scale data already available to academic researchers: BGP interdomain routing control plane data; unsolicited data plane traffic to unassigned address space; active macroscopic traceroute measurements; RIR delegation files; and MaxMind's geolocation database. We used the latter two data sets to determine which IP address ranges were allocated to entities within each country, and then mapped these IP addresses of interest to BGP-announced address ranges (prefixes) and origin ASes using publicly available BGP data repositories in the U.S. and Europe. We then analyzed observable activity related to these sets of …"
4,Multi-protocol and multi-platform traffic generation and measurement,228,2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oZNdAREAAAAJ&pagesize=50&citation_for_view=oZNdAREAAAAJ:u5HHmVD_uO8C,"D-ITG is a software platform for traffic generation and active measurements which presents several features that make it a robust and flexible tool for networking researchers and developers. In this demo we will show how it is possible to perform several experiments under a variety of network scenarios, which will include usage of novel network protocols and appliances (ie Intel network processors 1)"
5,Millions of targets under attack: a macroscopic characterization of the DoS ecosystem,204,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oZNdAREAAAAJ&pagesize=50&citation_for_view=oZNdAREAAAAJ:2P1L_qKh6hAC,"Denial-of-Service attacks have rapidly increased in terms of frequency and intensity, steadily becoming one of the biggest threats to Internet stability and reliability. However, a rigorous comprehensive characterization of this phenomenon, and of countermeasures to mitigate the associated risks, faces many infrastructure and analytic challenges. We make progress toward this goal, by introducing and applying a new framework to enable a macroscopic characterization of attacks, attack targets, and DDoS Protection Services (DPSs). Our analysis leverages data from four independent global Internet measurement infrastructures over the last two years: backscatter traffic to a large network telescope; logs from amplification honeypots; a DNS measurement platform covering 60% of the current namespace; and a DNS-based data set focusing on DPS adoption. Our results reveal the massive scale of the DoS problem …"
6,"Analysis of a""/0"" Stealth Scan from a Botnet",203,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oZNdAREAAAAJ&pagesize=50&citation_for_view=oZNdAREAAAAJ:M3ejUd6NZC8C,"Botnets are the most common vehicle of cyber-criminal activity. They are used for spamming, phishing, denial of service attacks, brute-force cracking, stealing private information, and cyber warfare. Botnets carry out network scans for several reasons, including searching for vulnerable machines to infect and recruit into the botnet, probing networks for enumeration or penetration, etc. We present the measurement and analysis of a horizontal scan of the entire IPv4 address space conducted by the Sality botnet in February of last year. This 12-day scan originated from approximately 3 million distinct IP addresses, and used a heavily coordinated and unusually covert scanning strategy to try to discover and compromise VoIP-related (SIP server) infrastructure. We observed this event through the UCSD Network Telescope, a /8 darknet continuously receiving large amounts of unsolicited traffic, and we correlate this traffic …"
7,ARTEMIS: Neutralizing BGP hijacking within a minute,191,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oZNdAREAAAAJ&pagesize=50&citation_for_view=oZNdAREAAAAJ:35N4QoGY0k4C,"Border gateway protocol (BGP) prefix hijacking is a critical threat to Internet organizations and users. Despite the availability of several defense approaches (ranging from RPKI to popular third-party services), none of them solves the problem adequately in practice. In fact, they suffer from: (i) lack of detection comprehensiveness, allowing sophisticated attackers to evade detection; (ii) limited accuracy, especially in the case of third-party detection; (iii) delayed verification and mitigation of incidents, reaching up to days; and (iv) lack of privacy and of flexibility in post-hijack counteractions, on the side of network operators. In this paper, we propose ARTEMIS, a defense approach (a) based on accurate and fast detection operated by the autonomous system itself, leveraging the pervasiveness of publicly available BGP monitoring services and their recent shift towards real-time streaming and thus (b) enabling flexible and …"
8,BGPStream: a software framework for live and historical BGP data analysis,173,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oZNdAREAAAAJ&pagesize=50&citation_for_view=oZNdAREAAAAJ:4JMBOYKVnBMC,"We present BGPStream, an open-source software framework for the analysis of both historical and real-time Border Gateway Protocol (BGP) measurement data. Although BGP is a crucial operational component of the Internet infrastructure, and is the subject of research in the areas of Internet performance, security, topology, protocols, economics, etc., there is no efficient way of processing large amounts of distributed and/or live BGP measurement data. BGPStream fills this gap, enabling efficient investigation of events, rapid prototyping, and building complex tools and large-scale monitoring applications (e.g., detection of connectivity disruptions or BGP hijacking attacks). We discuss the goals and architecture of BGPStream. We apply the components of the framework to different scenarios, and we describe the development and deployment of complex services for global Internet monitoring that we built on top of it."
9,Blink: Fast connectivity recovery entirely in the data plane,160,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oZNdAREAAAAJ&pagesize=50&citation_for_view=oZNdAREAAAAJ:dshw04ExmUIC,"We present Blink, a data-driven system that leverages TCP-induced signals to detect failures directly in the data plane. The key intuition behind Blink is that a TCP flow exhibits a predictable behavior upon disruption: retransmitting the same packet over and over, at epochs exponentially spaced in time. When compounded over multiple flows, this behavior creates a strong and characteristic failure signal. Blink efficiently analyzes TCP flows to:(i) select which ones to track;(ii) reliably and quickly detect major traffic disruptions; and (iii) recover connectivity—all this, completely in the data plane. We present an implementation of Blink in P4 together with an extensive evaluation on real and synthetic traffic traces. Our results indicate that Blink:(i) achieves sub-second rerouting for large fractions of Internet traffic; and (ii) prevents unnecessary traffic shifts even in the presence of noise. We further show the feasibility of Blink by running it on an actual Tofino switch."
10,Reviewing traffic classification,157,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oZNdAREAAAAJ&pagesize=50&citation_for_view=oZNdAREAAAAJ:aqlVkmm33-oC,"Traffic classification has received increasing attention in the last years. It aims at offering the ability to automatically recognize the application that has generated a given stream of packets from the direct and passive observation of the individual packets, or stream of packets, flowing in the network. This ability is instrumental to a number of activities that are of extreme interest to carriers, Internet service providers and network administrators in general. Indeed, traffic classification is the basic block that is required to enable any traffic management operations, from differentiating traffic pricing and treatment (e.g., policing, shaping, etc.), to security operations (e.g., firewalling, filtering, anomaly detection, etc.).Up to few years ago, almost any Internet application was using well-known transport layer protocol ports that easily allowed its identification. More recently, the number of applications using random or non-standard …"
