Rank,Title,Citations,Year,URL,Description
1,Deterministic variational inference for robust bayesian neural networks,279,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ptGYJiEAAAAJ&pagesize=50&citation_for_view=ptGYJiEAAAAJ:W7OEmFMy1HYC,"Bayesian neural networks (BNNs) hold great promise as a flexible and principled solution to deal with uncertainty when learning from finite data. Among approaches to realize probabilistic inference in deep neural networks, variational Bayes (VB) is theoretically grounded, generally applicable, and computationally efficient. With wide recognition of potential advantages, why is it that variational Bayes has seen very limited practical use for BNNs in real applications? We argue that variational inference in neural networks is fragile: successful implementations require careful initialization and tuning of prior variances, as well as controlling the variance of Monte Carlo gradient estimates. We provide two innovations that aim to turn VB into a robust inference tool for Bayesian neural networks: first, we introduce a novel deterministic method to approximate moments in neural networks, eliminating gradient variance; second, we introduce a hierarchical prior for parameters and a novel Empirical Bayes procedure for automatically selecting prior variances. Combining these two innovations, the resulting method is highly efficient and robust. On the application of heteroscedastic regression we demonstrate good predictive performance over alternative approaches."
2,Gaussian process based nonlinear latent structure discovery in multivariate spike train data,153,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ptGYJiEAAAAJ&pagesize=50&citation_for_view=ptGYJiEAAAAJ:Y0pCki6q_DkC,"A large body of recent work focuses on methods for extracting low-dimensional latent structure from multi-neuron spike train data. Most such methods employ either linear latent dynamics or linear mappings from latent space to log spike rates. Here we propose a doubly nonlinear latent variable model that can identify low-dimensional structure underlying apparently high-dimensional spike train data. We introduce the Poisson Gaussian-Process Latent Variable Model (P-GPLVM), which consists of Poisson spiking observations and two underlying Gaussian processes—one governing a temporal latent variable and another governing a set of nonlinear tuning curves. The use of nonlinear tuning curves enables discovery of low-dimensional latent structure even when spike responses exhibit high linear dimensionality (eg, as found in hippocampal place cell codes). To learn the model from data, we introduce the decoupled Laplace approximation, a fast approximate inference method that allows us to efficiently optimize the latent path while marginalizing over tuning curves. We show that this method outperforms previous Laplace-approximation-based inference methods in both the speed of convergence and accuracy. We apply the model to spike trains recorded from hippocampal place cells and show that it compares favorably to a variety of previous methods for latent structure discovery, including variational auto-encoder (VAE) based methods that parametrize the nonlinear mapping from latent space to spike rates with a deep neural network."
3,Neural latents benchmark'21: evaluating latent variable models of neural population activity,144,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ptGYJiEAAAAJ&pagesize=50&citation_for_view=ptGYJiEAAAAJ:YOwf2qJgpHMC,"Advances in neural recording present increasing opportunities to study neural activity in unprecedented detail. Latent variable models (LVMs) are promising tools for analyzing this rich activity across diverse neural systems and behaviors, as LVMs do not depend on known relationships between the activity and external experimental variables. However, progress with LVMs for neuronal population activity is currently impeded by a lack of standardization, resulting in methods being developed and compared in an ad hoc manner. To coordinate these modeling efforts, we introduce a benchmark suite for latent variable modeling of neural population activity. We curate four datasets of neural spiking activity from cognitive, sensory, and motor areas to promote models that apply to the wide variety of activity seen across these areas. We identify unsupervised evaluation as a common framework for evaluating models across datasets, and apply several baselines that demonstrate benchmark diversity. We release this benchmark through EvalAI. http://neurallatents.github.io"
4,Dynamic time warping constraint learning for large margin nearest neighbor classification,108,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ptGYJiEAAAAJ&pagesize=50&citation_for_view=ptGYJiEAAAAJ:u5HHmVD_uO8C,"Nearest neighbor (NN) classifier with dynamic time warping (DTW) is considered to be an effective method for time series classification. The performance of NN-DTW is dependent on the DTW constraints because the NN classifier is sensitive to the used distance function. For time series classification, the global path constraint of DTW is learned for optimization of the alignment of time series by maximizing the nearest neighbor hypothesis margin. In addition, a reduction technique is combined with a search process to condense the prototypes. The approach is implemented and tested on UCR datasets. Experimental results show the effectiveness of the proposed method."
5,Global model for failure prediction for artificial lift systems,81,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ptGYJiEAAAAJ&pagesize=50&citation_for_view=ptGYJiEAAAAJ:u-x6o8ySG0sC,"BACKGROUNDArtificial lift systems are widely used in the oil industry to enhance production from reservoirs that have levels which are too low to directly lift fluids to the surface. There are a variety of artificial lift techniques in the industry, such as Gas Lift, Hydraulic Pumping Units, Electric Submersible Pump, Pro gressive Cavity Pump and Rod Pump techniques. Among these, the Sucker Rod Pump technique is the most commonly used.The reasons for rod pump failures can be broadly classified into two main categories: mechanical and chemical. Mechanical failures are caused by improper design improper manufacturing or from wear and tear during operations. Well conditions may contribute to excessive wear and tear, such as sand intrusions, gas pounding, rod cutting and asphalting. Chemical failures are caused by the corrosive nature of the fluid being pumped through the systems. For example, the fluid may …"
6,Deep Graph Pose: a semi-supervised deep graphical model for improved animal pose tracking,67,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ptGYJiEAAAAJ&pagesize=50&citation_for_view=ptGYJiEAAAAJ:8k81kl-MbHgC,"Noninvasive behavioral tracking of animals is crucial for many scientific investigations. Recent transfer learning approaches for behavioral tracking have considerably advanced the state of the art. Typically these methods treat each video frame and each object to be tracked independently. In this work, we improve on these methods (particularly in the regime of few training labels) by leveraging the rich spatiotemporal structures pervasive in behavioral video---specifically, the spatial statistics imposed by physical constraints (eg, paw to elbow distance), and the temporal statistics imposed by smoothness from frame to frame. We propose a probabilistic graphical model built on top of deep neural networks, Deep Graph Pose (DGP), to leverage these useful spatial and temporal constraints, and develop an efficient structured variational approach to perform inference in this model. The resulting semi-supervised model exploits both labeled and unlabeled frames to achieve significantly more accurate and robust tracking while requiring users to label fewer training frames. In turn, these tracking improvements enhance performance on downstream applications, including robust unsupervised segmentation of behavioral syllables,''and estimation of interpretable disentangled''low-dimensional representations of the full behavioral video. Open source code is available at\href {\CodeLink}{https://github. com/paninski-lab/deepgraphpose}."
7,Exploiting gradients and Hessians in Bayesian optimization and Bayesian quadrature,57,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ptGYJiEAAAAJ&pagesize=50&citation_for_view=ptGYJiEAAAAJ:Tyk-4Ss8FVUC,"An exciting branch of machine learning research focuses on methods for learning, optimizing, and integrating unknown functions that are difficult or costly to evaluate. A popular Bayesian approach to this problem uses a Gaussian process (GP) to construct a posterior distribution over the function of interest given a set of observed measurements, and selects new points to evaluate using the statistics of this posterior. Here we extend these methods to exploit derivative information from the unknown function. We describe methods for Bayesian optimization (BO) and Bayesian quadrature (BQ) in settings where first and second derivatives may be evaluated along with the function itself. We perform sampling-based inference in order to incorporate uncertainty over hyperparameters, and show that both hyperparameter and function uncertainty decrease much more rapidly when using derivative information. Moreover, we introduce techniques for overcoming ill-conditioning issues that have plagued earlier methods for gradient-enhanced Gaussian processes and kriging. We illustrate the efficacy of these methods using applications to real and simulated Bayesian optimization and quadrature problems, and show that exploting derivatives can provide substantial gains over standard methods."
8,Partitioning variability in animal behavioral videos using semi-supervised variational autoencoders,50,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ptGYJiEAAAAJ&pagesize=50&citation_for_view=ptGYJiEAAAAJ:MXK_kJrjxJIC,"Recent neuroscience studies demonstrate that a deeper understanding of brain function requires a deeper understanding of behavior. Detailed behavioral measurements are now often collected using video cameras, resulting in an increased need for computer vision algorithms that extract useful information from video data. Here we introduce a new video analysis tool that combines the output of supervised pose estimation algorithms (e.g. DeepLabCut) with unsupervised dimensionality reduction methods to produce interpretable, low-dimensional representations of behavioral videos that extract more information than pose estimates alone. We demonstrate this tool by extracting interpretable behavioral features from videos of three different head-fixed mouse preparations, as well as a freely moving mouse in an open field arena, and show how these interpretable features can facilitate downstream behavioral and neural analyses. We also show how the behavioral features produced by our model improve the precision and interpretation of these downstream analyses compared to using the outputs of either fully supervised or fully unsupervised methods alone."
9,Neural dynamics discovery via gaussian process recurrent neural networks,45,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ptGYJiEAAAAJ&pagesize=50&citation_for_view=ptGYJiEAAAAJ:LkGwnXOMwfcC,"Latent dynamics discovery is challenging in extracting complex dynamics from highdimensional noisy neural data. Many dimensionality reduction methods have been widely adopted to extract low-dimensional, smooth and time-evolving latent trajectories. However, simple state transition structures, linear embedding assumptions, or inflexible inference networks impede the accurate recovery of dynamic portraits. In this paper, we propose a novel latent dynamic model that is capable of capturing nonlinear, non-Markovian, long short-term time-dependent dynamics via recurrent neural networks and tackling complex nonlinear embedding via non-parametric Gaussian process. Due to the complexity and intractability of the model and its inference, we also provide a powerful inference network with bi-directional long short-term memory networks that encode both past and future information into posterior distributions. In the experiment, we show that our model outperforms other state-of-the-art methods in reconstructing insightful latent dynamics from both simulated and experimental neural datasets with either Gaussian or Poisson observations, especially in the low-sample scenario. Our codes and additional materials are available at https://github. com/sheqi/GP-RNN_UAI2019."
10,Learning a latent manifold of odor representations from neural responses in piriform cortex,42,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ptGYJiEAAAAJ&pagesize=50&citation_for_view=ptGYJiEAAAAJ:YsMSGLbcyi4C,"A major difficulty in studying the neural mechanisms underlying olfactory perception is the lack of obvious structure in the relationship between odorants and the neural activity patterns they elicit. Here we use odor-evoked responses in piriform cortex to identify a latent manifold specifying latent distance relationships between olfactory stimuli. Our approach is based on the Gaussian process latent variable model, and seeks to map odorants to points in a low-dimensional embedding space, where distances between points in the embedding space relate to the similarity of population responses they elicit. The model is specified by an explicit continuous mapping from a latent embedding space to the space of high-dimensional neural population firing rates via nonlinear tuning curves, each parametrized by a Gaussian process. Population responses are then generated by the addition of correlated, odor-dependent Gaussian noise. We fit this model to large-scale calcium fluorescence imaging measurements of population activity in layers 2 and 3 of mouse piriform cortex following the presentation of a diverse set of odorants. The model identifies a low-dimensional embedding of each odor, and a smooth tuning curve over the latent embedding space that accurately captures each neuron's response to different odorants. The model captures both signal and noise correlations across more than 500 neurons. We validate the model using a cross-validation analysis known as co-smoothing to show that the model can accurately predict the responses of a population of held-out neurons to test odorants."
