Rank,Title,Citations,Year,URL,Description
1,Designing a social network to support the independence of young adults with autism,118,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=puNJcv0AAAAJ&pagesize=50&citation_for_view=puNJcv0AAAAJ:u-x6o8ySG0sC,"Independence is key to a successful transition to adulthood for individuals with autism. Social support is a crucial factor for achieving adaptive self-help life skills. In this paper we describe the results of a formative design exercise with young adults with autism and their caregivers to uncover opportunities for social networks to promote independence and facilitate coordination. We propose the concept of SocialMirror, a device connected to an online social network that allows the young adult to seek advice from a trusted and responsive network of family, friends and professionals. Focus group discussions reveal the potential for SocialMirror to increase motivation to learn everyday life skills among young adults with autism and to foster collaboration among a distributed care network. We present design considerations to leverage a small trusted network that balances quick response with safeguards for privacy and …"
2,The power of collective endorsements: credibility factors in medical crowdfunding campaigns,90,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=puNJcv0AAAAJ&pagesize=50&citation_for_view=puNJcv0AAAAJ:YsMSGLbcyi4C,"Traditional medical fundraising charities have been relying on third-party watchdogs and carefully crafting their reputation over time to signal their credibility to potential donors. As medical fundraising campaigns migrate to online platforms in the form of crowdfunding, potential donors can no longer rely on the organization's traditional methods for achieving credibility. Individual fundraisers must establish credibility on their own. Potential donors, therefore, seek new factors to assess the credibility of crowdfunding campaigns. In this paper, we investigate current practices in assessing the credibility of online medical crowdfunding campaigns. We report results from a mixed-methods study that analyzed data from social media and semi-structured interviews. We discovered eleven factors associated with the perceived credibility of medical crowdfunding. Of these, three communicative/emotional factors were unique to …"
3,Personalized academic research paper recommendation system,83,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=puNJcv0AAAAJ&pagesize=50&citation_for_view=puNJcv0AAAAJ:r0BpntZqJG4C,"A huge number of academic papers are coming out from a lot of conferences and journals these days. In these circumstances, most researchers rely on key-based search or browsing through proceedings of top conferences and journals to find their related work. To ease this difficulty, we propose a Personalized Academic Research Paper Recommendation System, which recommends related articles, for each researcher, that may be interesting to her/him. In this paper, we first introduce our web crawler to retrieve research papers from the web. Then, we define similarity between two research papers based on the text similarity between them. Finally, we propose our recommender system developed using collaborative filtering methods. Our evaluation results demonstrate that our system recommends good quality research papers."
4,Investigating the use of circles in social networks to support independence of individuals with autism,48,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=puNJcv0AAAAJ&pagesize=50&citation_for_view=puNJcv0AAAAJ:d1gkVwhDpl0C,"Building social support networks is crucial both for less-independent individuals with autism and for their primary caregivers. In this paper, we describe a four-week exploratory study of a social network service (SNS) that allows young adults with autism to garner support from their family and friends. We explore the unique benefits and challenges of using SNSs to mediate requests for help or advice. In particular, we examine the extent to which specialized features of an SNS can engage users in communicating with their network members to get advice in varied situations. Our findings indicate that technology-supported communication particularly strengthened the relationship between the individual and extended network members, mitigating concerns about over-reliance on primary caregivers. Our work identifies implications for the design of social networking services tailored to meet the needs of this special …"
5,Person-centered transition planning for youth on the autism spectrum: What are we still missing?,41,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=puNJcv0AAAAJ&pagesize=50&citation_for_view=puNJcv0AAAAJ:j3f4tGmQtD8C,"The person-centered individualized education program (IEP) transition planning has emerged as a primary indicator of quality services, and as a predictor for successful post-school outcomes for transition-age youth with autism spectrum disorders (ASD). However, these person-centered transition practices are not uniformly implemented across the United States. Using a combined Self-Determination Theory and Ecological Systems Theory, we examined the facilitators and barriers of implementing the person-centered transition practices for youth with ASD. We conducted interviews with 21 stakeholders including youth with ASD, parents, and professionals.The current findings indicated that person-centered transition planning practices for youth with ASD showed inconsistencies and areas of need for improvement. Four key factor levels were identified based on a theoretical framework: individual level, microsystem …"
6,Skin Conductance as an In Situ Marker for Emotional Arousal in Children with Neurodevelopmental Communication Impairments: Methodological Considerations …,40,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=puNJcv0AAAAJ&pagesize=50&citation_for_view=puNJcv0AAAAJ:mB3voiENLucC,"Even though electrodermal activity has been widely used in the study of psychological states and processes for over 130 years, the use of such technology in situ, within the context of daily activities, remains a major challenge. Recent technological advancements have led to the development of wearable biosensors that noninvasively measure electrical conductance across the skin. These biosensors represent a new approach for skin conductance assessment, as a proxy for emotional arousal, in children with neurodevelopmental communication impairments who are often described as having difficulties with emotional regulation, expressing thoughts and feelings, and present a higher prevalence of challenging behaviors. Here we provide an overview of skin conductance and explore the benefits of recent technological advancements for applied research and clinical practice. We draw on user experience from two …"
7,The Workplace Playbook VR: Exploring the Design Space of Virtual Reality to Foster Understanding of and Support for Autistic People,34,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=puNJcv0AAAAJ&pagesize=50&citation_for_view=puNJcv0AAAAJ:TFP_iSt0sucC,"A growing number of organizations are hiring autistic individuals as they start to recognize the value of a neurodiverse workforce. Despite this trend, the lack of support for autistic employees in workplaces complicates their employment. However, little is known about how people around autistic individuals can support them to create pleasant employment experiences. In this work, we develop the concept of the Workplace Playbook VR to investigate how virtual reality (VR) can help autistic people develop their work-related social communication skills in partnership with people in their support network. Using a video prototype to present the concept, we interviewed 28 participants, including 10 autistic people and 18 members of their support networks, which included family members and professionals. Our interviews revealed that the Workplace Playbook VR program can provide common ground for autistic people …"
8,""" Not by Money Alone"" Social Support Opportunities in Medical Crowdfunding Campaigns",34,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=puNJcv0AAAAJ&pagesize=50&citation_for_view=puNJcv0AAAAJ:ZeXyd9-uunAC,"Medical crowdfunding helps patients receive financial support from their distributed social networks online. However, little is known about who the patient's supporters are, what support they provide, and why. To address this, we interviewed fifteen people involved in medical crowdfunding, including both beneficiaries and supporters. We found that support networks were larger than beneficiaries expected, with strangers offering support. Supporters offered not only monetary but also volunteering contributions including campaign creation, promotion, and external support. However, the emphasis medical crowdfunding interfaces place on monetary contributions led to social issues. Beneficiaries' close friends felt pressured to donate money they could not afford to give. And beneficiaries promoting the campaign worried they would be judged for requesting money. To mitigate these concerns, we suggest making the …"
9,Designing for strengths: Opportunities to support neurodiversity in the workplace,31,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=puNJcv0AAAAJ&pagesize=50&citation_for_view=puNJcv0AAAAJ:70eg2SAEIzsC,"Supported employment programs have demonstrated the ability to enhance employment outcomes for neurodivergent individuals by offering personalized job coaching that aligns with the strengths of each individual. While various technological interventions have been designed to support these programs, technologies that hyperfocus on users’ assumed challenges through deficit-based design have been criticized due to their potential to undermine the agency of neurodivergent individuals. Therefore, we use strengths-based co-design to explore the opportunities for a technology that supports neurodivergent employees using their strengths. The co-design activities uncovered our participants’ current strategies to address workplace challenges, the strengths they employ, and the technology designs that our participants developed to operationalize those strengths in a supportive technology. We find that …"
10,Toward inclusive mindsets: Design opportunities to represent neurodivergent work experiences to neurotypical co-workers in virtual reality,31,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=puNJcv0AAAAJ&pagesize=50&citation_for_view=puNJcv0AAAAJ:ldfaerwXgEUC,"Inclusive workplaces require mutual efforts between neurotypical (NT) and neurodivergent (ND) employees to understand one another’s viewpoints and experiences. Currently, the majority of inclusivity training places the burden of change on NDs to conform to NT social-behavioral standards. Our research examines moving toward a more equal effort distribution by exploring virtual reality (VR) design opportunities to build NTs’ understanding of ND workplace experiences. Using participatory design, including generative toolkits and design meetings, we surfaced two main themes that could bridge gaps in understanding: (1) NTs’ recognition of NDs’ strengths and efforts at work, and (2) NTs’ understanding of NDs’ differences. We present a strengths-based assessment of ND traits in the workplace, focusing on how workplaces can support NDs’ success. Finally, we propose VR simulation designs that communicate …"
