Rank,Title,Citations,Year,URL,Description
1,Parallel and Distributed Simulation Systems,2894,2000,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=q1bkP7AAAAAJ&pagesize=50&citation_for_view=q1bkP7AAAAAJ:mel-f30kHHgC,"Originating from basic research conducted in the 1970's and 1980's, the parallel and distributed simulation field has matured over the last few decades. Today, operational systems have been fielded for applications such as military training, analysis of communication networks, and air traffic control systems, to mention a few. The article gives an overview of technologies to distribute the execution of simulation programs over multiple computer systems. Particular emphasis is placed on synchronization (also called time management) algorithms as well as data distribution techniques."
2,Parallel discrete event simulation,2754,1990,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=q1bkP7AAAAAJ&pagesize=50&citation_for_view=q1bkP7AAAAAJ:u5HHmVD_uO8C,"Parallel discrete event simulation (PDES), sometimes called distributed simulation, refers to the execution of a single discrete event simulation program on a parallel computer. PDES has attracted a considerable amount of interest in recent years. From a pragmatic standpoint, this interest arises from the fact that large simulations in engineering, computer science, economics, and military applications, to mention a few, consume enormous amounts of time on sequential machines. From an academic point of view, parallel simulation is interesting because it represents a problem domain that often contains substantial amounts of parallelism (e.g., see [59]), yet paradoxically, is surprisingly difficult to parallelize in practice. A sufficiently general solution to the PDES problem may lead to new insights in parallel computation as a whole. Historically, the irregular, data-dependent nature of PDES programs has identified it as …"
3,MDDV: a mobility-centric data dissemination algorithm for vehicular networks,670,2004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=q1bkP7AAAAAJ&pagesize=50&citation_for_view=q1bkP7AAAAAJ:d1gkVwhDpl0C,"There has been increasing interest in the exploitation of advances in information technology in surface transportation systems. One trend is to exploit on-board sensing, computing and communication capabilities in vehicles, e.g., to augment and enhance existing intelligent transportation systems. A natural approach is to use vehicle-to-vehicle communications to disseminate information. In this paper, we propose MDDV, a mobility-centric approach for data dissemination in vehicular networks designed to operate efficiently and reliably despite the highly mobile, partitioned nature of these networks. MDDV is designed to exploit vehicle mobility for data dissemination, and combines the idea of opportunistic forwarding, trajectory based forwarding and geographical forwarding. We develop a generic mobile computing approach for designing localized algorithms in vehicular networks. Vehicles perform local operations …"
4,The department of defense high level architecture,454,1997,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=q1bkP7AAAAAJ&pagesize=50&citation_for_view=q1bkP7AAAAAJ:IjCSPb-OGe4C,"The High Level Architecture (HLA) provides the specification of a common technical architecture for use across all classes of simulations in the US Department af Defense. It provides the structural basis for simulation interoperability. The baseline definition of the HLA includes (1) the HLA Rules,(2) the HLA Inte&ce Specification, and (3) the HLA Object Model Template. This paper describes the motivations and processes used to develop the High Level Architecture and provides a technical description of key elements of the architecture and supporting software. Services defined in the interface specification for providing time management (TM) and data distribution management (DDM) for distributed simulations are described."
5,Multicomputer networks: Message-based parallel processing,402,1988,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=q1bkP7AAAAAJ&pagesize=50&citation_for_view=q1bkP7AAAAAJ:9yKSN-GCB0IC,The performance of the communication primitives of parallel computers is critical for the overall system performance. The characterization of the communication overhead is very important to estimate the global performance of parallel...
6,Performance of Time Warp under synthetic workloads,373,1990,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=q1bkP7AAAAAJ&pagesize=50&citation_for_view=q1bkP7AAAAAJ:UeHWp8X0CEIC,Performance of Time Warp under synthetic workloads | CiNii Research CiNii 国立情報学研究所 学術情報ナビゲータ[サイニィ] 詳細へ移動 検索フォームへ移動 論文・データをさがす 大学 図書館の本をさがす English 検索 タイトル 人物/団体名 所属機関 ISSN DOI 期間 ~ 本文リンク 本文 リンクあり データソース JaLC IRDB Crossref DataCite NDLサーチ NDLデジコレ(旧NII-ELS) RUDA JDCat NINJAL CiNii Articles CiNii Books NACSIS-CAT/ILL DBpedia KAKEN Integbio PubMed LSDB Archive 極地研ADS 極地研学術DB OpenAIRE 公共データカタログ すべて 研究データ 論文 本 博士論文 プロジェクト [2025年5月12日更新]CiNii Dissertations及びCiNii BooksのCiNii Researchへの統合について CiNii Researchナレッジグラフ検索機能(試行版)をCiNii Labsにて公開 しました 「研究データ」「根拠データ」の収録について Performance of Time Warp under synthetic workloads 被引用文献1件 FUJIMOTO RM 収録刊行物 Proceedings of the SCS Multiconference …
7,A bee colony optimization algorithm to job shop scheduling,363,2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=q1bkP7AAAAAJ&pagesize=50&citation_for_view=q1bkP7AAAAAJ:O0MA3yP7Y3UC,"In the face of globalization and rapidly shrinking product life cycle, manufacturing companies are trying different means to improve productivity through management of machine utilization and product cycle-time. Job shop scheduling is an important task for manufacturing industry in terms of improving machine utilization and reducing cycle-time. However, job shop scheduling is inherently a NP-hard problem with no easy solution. This paper describes a novel approach that uses the honey bees foraging model to solve the job shop scheduling problem. Experimental results comparing the proposed honey bee colony approach with existing approaches such as ant colony and tabu search will be presented."
8,Efficient optimistic parallel simulations using reverse computation,349,1999,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=q1bkP7AAAAAJ&pagesize=50&citation_for_view=q1bkP7AAAAAJ:WF5omc3nYNoC,"In optimistic parallel simulations, state-saving techniques have traditionally been used to realize rollback. In this article, we propose reverse computation as an alternative approach, and compare its execution performance against that of state-saving. Using compiler techniques, we describe an approach to automatically generate reversible computations, and to optimize them to reap the performance benefits of reverse computation transparently. For certain fine-grain models, such as queuing network models, we show that reverse computation can yield significant improvement in execution speed coupled with significant reduction in memory utilization, as compared to traditional state-saving. On sample models using reverse computation, we observe as much as a six-fold improvement in execution speed over traditional state-saving."
9,Time management in the high level architecture,336,1998,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=q1bkP7AAAAAJ&pagesize=50&citation_for_view=q1bkP7AAAAAJ:zYLM7Y9cAGgC,"Time management is required in simulations to ensure that temporal aspects of the system un der investigation are correctly reproduced by the simulation model. This paper describes the time management services that have been de fined in the High Level Architecture. The need for time management services is discussed, as well as design rationales that lead to the current definition of the HLA time management ser vices. These services are described, highlighting information that must flow between federates and the Runtime Infrastructure (RTI) software in order to efficiently implement time manage ment algorithms."
10,Time Warp on a Shared Memory Multiprocessor.,313,1989,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=q1bkP7AAAAAJ&pagesize=50&citation_for_view=q1bkP7AAAAAJ:qjMakFHDy7sC,"A variation of the Time Warp parallel discrete event simulation mechanism is presented that is optimized for execution on a shared memory multiprocessor. In particular, the direct cancella tion mechanism is proposed that eliminates the need for anti-messages and provides an efficient mechanism for cancelling erroneous computations. The mechanism thereby eliminates many of the overheads associated with conventional, message-based implementations of Time Warp. More importantly, this mechanism effects rapid repairs of the parallel computation when an error is discovered."
11,GTW: a time warp system for shared memory multiprocessors,308,1994,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=q1bkP7AAAAAJ&pagesize=50&citation_for_view=q1bkP7AAAAAJ:Tyk-4Ss8FVUC,"The design of the Georgia Tech Time Warp (GTW, version 2.0) executive for cache-coherent shared-memory multiprocessors is described. The programmer's interface is presented. Several optimizations used to efficiently realize key functions such as event list manipulation, memory and buffer management, and message passing are discussed. An efficient algorithm for computing GVT on shared-memory multiprocessors is described. Measurements of a wireless personal communication services (PCS) network simulation indicate the GTW simulator is able to sustain performance as high as 335,000 committed events per second for this application on a 42-processor KSR-2 machine."
12,Large-scale network simulation: how big? how fast?,281,2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=q1bkP7AAAAAJ&pagesize=50&citation_for_view=q1bkP7AAAAAJ:YsMSGLbcyi4C,"Parallel and distributed simulation tools are emerging that offer the ability to perform detailed, packet-level simulations of large-scale computer networks on an unprecedented scale. The state-of-the-art in large-scale network simulation is characterized quantitatively. For this purpose, a metric based on the number of packet transmissions that can be processed by a simulator per second of wallclock time (PTS) is used as a means to quantitatively assess packet-level network simulator performance. An approach to realizing scalable network simulations that leverages existing sequential simulation models and software is described. Results from a recent performance study are presented concerning large-scale network simulation on a variety of platforms ranging from workstations to cluster computers to supercomputers. These experiments include runs utilizing as many as 1536 processors yielding performance as …"
13,Performance measurements of distributed simulation strategies,237,1989,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=q1bkP7AAAAAJ&pagesize=50&citation_for_view=q1bkP7AAAAAJ:eQOLeE2rZwMC,"A multiprocessor-based, distributed simulation testbed is described that facilitates con trolled experimentation with distributed simulation algorithms. The performance of simulation strategies using deadlock avoidance and deadlock detection and recovery techniques are exam ined using various synthetic and actual workloads. The distributed simulators are compared with a uniprocessor-based event list implementation. Results of a series of experiments demonstrate that message population and the degree to which processes can look ahead in simulated time play critical roles in the performance of distributed simulators using these algorithms. An “avalanche” phenomenon was observed in the deadlock detection and recovery simulator, and was found to be a necessary condition for achieving good performance. The central server queueing model was also examined. The poor behavior of this test case that has been observed by others is reproduced in the testbed, and explained in terms of message population and lookahead. Based on these observations, a modification to the server process pro gram is suggested that improves performance by as much as an order of magnitude when firstcome-first-serve (FCFS) servers are used.These results demonstrate that conservative distributed simulation algorithms using deadlock avoidance or detection and recovery techniques can provide significant speedups over sequential event list implementations for some workloads, even in the presence of only a moderate amount of parallelism and many feedback loops. However, a moderate to high degree of parallelism is not sufficient to guarantee good …"
14,Parallel simulation today,232,1994,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=q1bkP7AAAAAJ&pagesize=50&citation_for_view=q1bkP7AAAAAJ:Y0pCki6q_DkC,"This paper surveys topics that presently define the state of the art in parallel simulation. Included in the tutorial are discussions on new protocols, mathematical performance analysis, time parallelism, hardware support for parallel simulation, load balancing algorithms, and dynamic memory management for optimistic snchronization."
15,A generic framework for parallelization of network simulations,217,1999,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=q1bkP7AAAAAJ&pagesize=50&citation_for_view=q1bkP7AAAAAJ:W7OEmFMy1HYC,"Discrete event simulation is widely used within the networking community for purposes such as demonstrating the validity of network protocols and architectures. Depending on the level of detail modeled within the simulation, the running time and memory requirements can be excessive. The goal of our research is to develop and demonstrate a practical, scalable approach to parallel and distributed simulation that will enable widespread reuse of sequential network simulation models and software. We focus on an approach to parallelization where an existing network simulator is used to build models of subnetworks that are composed to create simulations of larger networks. Changes to the original simulator are minimized, enabling the parallel simulator to easily track enhancements to the sequential version. In this paper we describe our lessons learned in applying this approach to the publicly available ns 9 software package, and converting it to run in a parallel fashion on a network of workstations. This activity highlights a number of important problems, from the standpoint of how to parallelize an existing serial simulation model and achieving acceptable parallel performance."
16,The DoD high level architecture: an update,175,1998,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=q1bkP7AAAAAJ&pagesize=50&citation_for_view=q1bkP7AAAAAJ:0EnyYjriUFMC,"The DoD High Level Architecture (HLA) provides the specification of a common technical architecture for use across all classes of simulations in the US Department of Defense. It provides the structural basis for simulation interoperability. The baseline definition of the HLA includes the HLA rules, the HLA interface specification (IFSpec), and the HLA object model template (OMT). The HLA rules are a set of 10 basic rules that define key principles used in the HLA as well as the responsibilities and relationships among the components of an HLA federation. The HLA IFSpec provides a specification of the functional interfaces between HLA federates and the HLA runtime infrastructure. The HLA OMT provides a common presentation format for HLA simulation and federation object models. The paper provides a description of the development of the HLA, a technical description of the key elements of the architecture, and a …"
17,Parallel discrete event simulation: Will the field survive?,163,1993,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=q1bkP7AAAAAJ&pagesize=50&citation_for_view=q1bkP7AAAAAJ:roLk4NBRz8UC,"Despite over a decade and a half of research and several successes, technologies to use parallel computers to speed up the execution of discrete event simulation programs have not had a significant impact in the general simulation community. Unless new inroads are made in reducing the effort and expertise required to develop efficient parallel simulation models, the field will continue to have limited application, and will remain a specialized technique used by only a handful of researchers. The future success, or failure, of the parallel discrete event simulation field hinges on the extent to which this problem can be addressed. Moreover, failure to meet this challenge will ultimately limit the effectiveness of discrete event simulation, in general, as a tool for analyzing and understanding large-scale systems. Basic underlying principles and techniques that are used in parallel discrete event simulation are briefly …"
18,Analytical models for information propagation in vehicle-to-vehicle networks,162,2004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=q1bkP7AAAAAJ&pagesize=50&citation_for_view=q1bkP7AAAAAJ:hqOjcs7Dif8C,"There has been increasing interest in information infrastructures based on vehicle-to-vehicle communications. Proposed network architectures have unique characteristics that distinguish them from other systems. We present analytical models to study spatial propagation of information in a highly mobile vehicle-to-vehicle ad-hoc network. We show that information propagation depends on vehicle traffic characteristics, e.g., the vehicle density, average vehicle speed and relative speed among vehicles. Simulations validate these models and highlight the need to include other vehicle traffic models."
