Rank,Title,Citations,Year,URL,Description
1,Improving teamwork competencies in human-machine teams: Perspectives from team science,92,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=q_K8iFQAAAAJ&pagesize=50&citation_for_view=q_K8iFQAAAAJ:BqipwSGYUEgC,"In response to calls for research to improve human-machine teaming (HMT), we present a “perspective” paper that explores techniques from computer science that can enhance machine agents for human-machine teams. As part of this paper, we (1) summarize the state of the science on critical team competencies identified for effective HMT, (2) discuss technological gaps preventing machines from fully realizing these competencies, and (3) identify ways that emerging artificial intelligence (AI) capabilities may address these gaps and enhance performance in HMT. We extend beyond extant literature by incorporating recent technologies and techniques and describing their potential for contributing to the advancement of HMT."
2,Domain-general tutor authoring with apprentice learner models,68,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=q_K8iFQAAAAJ&pagesize=50&citation_for_view=q_K8iFQAAAAJ:blknAaTinKkC,"Intelligent tutoring systems are effective for improving students’ learning outcomes (Pane et al. ; Koedinger and Anderson, International Journal of Artificial Intelligence in Education, 8, 1–14, ; Bowen et al. Journal of Policy Analysis and Management, 1, 94–111 ). However, constructing tutoring systems that are pedagogically effective has been widely recognized as a challenging problem (Murray ; Murray, International Journal of Artificial Intelligence in Education, 10, 98–129, ). In this paper, we explore the use of computational models of apprentice learning, or computer models that learn interactively from examples and feedback, for authoring expert-models via demonstrations and feedback (Matsuda et al. International Journal of Artificial Intelligence in Education, 25(1), 1–34 ) across a wide range of domains. To support these investigations, we present the Apprentice Learner Architecture, which posits the types of …"
3,The Apprentice Learner Architecture: Closing the loop between learning theory and educational data,59,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=q_K8iFQAAAAJ&pagesize=50&citation_for_view=q_K8iFQAAAAJ:aqlVkmm33-oC,"While Educational Data Mining research has traditionally emphasized the practical aspects of learner modeling, such as predictive modeling, estimating students knowledge, and informing adaptive instruction, in the current study, we argue that Educational Data Mining can also be used to test and improve our fundamental theories of human learning. Using the Apprentice Learner architecture, a computational theory of learning capable of simulating human behavior in interactive learning environments, we generate two models that embody alternative theories of human learning: (1) that humans perfectly recall previous training during learning and (2) that humans only recall a limited window of experience. We evaluate which of these models is better supported by data from two fractions tutoring systems. In general, we find that the model with a complete memory better fits the data than a model recalling only the previous training experience (data-drive theory development). Additionally, we"
4,Developmental changes in semantic knowledge organization,53,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=q_K8iFQAAAAJ&pagesize=50&citation_for_view=q_K8iFQAAAAJ:qxL8FJ1GzNcC,"Semantic knowledge is a crucial aspect of higher cognition. Theoretical accounts of semantic knowledge posit that relations between concepts provide organizational structure that converts information known about individual entities into an interconnected network in which concepts can be linked by many types of relations (e.g., taxonomic, thematic). The goal of the current research was to address several methodological shortcomings of prior studies on the development of semantic organization, by using a variant of the spatial arrangement method (SpAM) to collect graded judgments of relatedness for a set of entities that can be cross-classified into either taxonomic or thematic groups. In Experiment 1, we used the cross-classify SpAM (CC–SpAM) to obtain graded relatedness judgments and derive a representation of developmental changes in the organization of semantic knowledge. In Experiment 2, we …"
5,Authoring Tutors with SimStudent: An Evaluation of Efficiency and Model Quality,46,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=q_K8iFQAAAAJ&pagesize=50&citation_for_view=q_K8iFQAAAAJ:Se3iqnhoufwC,"Authoring Intelligent Tutoring Systems is expensive and time consuming. To reduce costs, the Cognitive Tutor Authoring Tools and the Example-Tracing Tutor paradigm were developed to make the tutor authoring process more efficient. Under this paradigm, tutors are constructed by demonstrating behavior directly in a tutor interface, reducing the need for programming expertise. This paper evaluates the efficiency of authoring a tutor with SimStudent, an extension to the Example-Tracing paradigm that is designed to produce greater generality in less time by induction from past demonstrations and feedback. We found that authoring an algebra tutor in SimStudent is faster than Example-Tracing while maintaining equivalent final model quality. Furthermore, we found that the SimStudent model generalizes beyond the problems that were used to author it."
6,Val: Interactive task learning with gpt dialog parsing,38,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=q_K8iFQAAAAJ&pagesize=50&citation_for_view=q_K8iFQAAAAJ:zA6iFVUQeVQC,"Machine learning often requires millions of examples to produce static, black-box models. In contrast, interactive task learning (ITL) emphasizes incremental knowledge acquisition from limited instruction provided by humans in modalities such as natural language. However, ITL systems often suffer from brittle, error-prone language parsing, which limits their usability. Large language models (LLMs) are resistant to brittleness but are not interpretable and cannot learn incrementally. We present VAL, an ITL system with a new philosophy for LLM/symbolic integration. By using LLMs only for specific tasks—such as predicate and argument selection—within an algorithmic framework, VAL reaps the benefits of LLMs to support interactive learning of hierarchical task knowledge from natural language. Acquired knowledge is human interpretable and generalizes to support execution of novel tasks without additional training …"
7,Investigating the Solution Space of an Open-Ended Educational Game Using Conceptual Feature Extraction,32,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=q_K8iFQAAAAJ&pagesize=50&citation_for_view=q_K8iFQAAAAJ:WF5omc3nYNoC,"The rich interaction space of many educational games presents a challenge for designers and researchers who strive to help players achieve specific learning outcomes. Giving players a large amount of freedom over how they perform a complex game task makes it difficult to anticipate what they will do. In order to address this issue designers must ask: what are students doing in my game? And does it embody what I intended them to learn? To answer these questions, designers need methods to expose the details of student play. We describe our approach for automatic extraction of conceptual features from logs of student play sessions within an open educational game utilizing a two-dimensional context-free grammar. We demonstrate how these features can be used to cluster student solutions in the educational game RumbleBlocks. Using these clusters, we explore the range of solutions and measure how many students use the designers’ envisioned solution. Equipped with this information, designers and researchers can focus redesign efforts to areas in the game where discrepancies exist between the designers’ intentions and player experiences."
8,Towards educator-driven tutor authoring: generative AI approaches for creating intelligent tutor interfaces,30,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=q_K8iFQAAAAJ&pagesize=50&citation_for_view=q_K8iFQAAAAJ:f2IySw72cVMC,"Intelligent Tutoring Systems (ITSs) have shown great potential in delivering personalized and adaptive education, but their widespread adoption has been hindered by the need for specialized programming and design skills. Existing approaches overcome the programming limitations with no-code authoring through drag and drop, however they assume that educators possess the necessary skills to design effective and engaging tutor interfaces. To address this assumption we introduce generative AI capabilities to assist educators in creating tutor interfaces that meet their needs while adhering to design principles. Our approach leverages Large Language Models (LLMs) and prompt engineering to generate tutor layout and contents based on high-level requirements provided by educators as inputs. However, to allow them to actively participate in the design process, rather than relying entirely on AI-generated …"
9,Beyond final answers: Evaluating large language models for math tutoring,27,2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=q_K8iFQAAAAJ&pagesize=50&citation_for_view=q_K8iFQAAAAJ:p2g8aNsByqUC,"Researchers have made notable progress in applying large language models (LLMs) to solve math problems, as demonstrated through efforts like GSM8k, ProofNet, AlphaGeometry, and MathOdyssey. This progress has sparked interest in their potential use for tutoring students in mathematics. However, the reliability of LLMs in tutoring contexts—where correctness and instructional quality are crucial—remains underexplored. Moreover, LLM problem-solving capabilities may not necessarily translate into effective tutoring support for students. In this work, we present two novel approaches to evaluate the correctness and quality of LLMs in math tutoring contexts. The first approach uses an intelligent tutoring system for college algebra as a testbed to assess LLM problem-solving capabilities. We generate benchmark problems using the tutor, prompt multiple LLMs to solve them, and compare the solutions to those …"
10,Accounting for Slipping and Other False Negatives in Logistic Models of Student Learning.,27,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=q_K8iFQAAAAJ&pagesize=50&citation_for_view=q_K8iFQAAAAJ:KlAtU1dfN6UC,"Additive Factors Model (AFM) and Performance Factors Analysis (PFA) are two popular models of student learning that employ logistic regression to estimate parameters and predict performance. This is in contrast to Bayesian Knowledge Tracing (BKT) which uses a Hidden Markov Model formalism. While all three models tend to make similar predictions, they differ in their parameterization of student learning. One key difference is that BKT has parameters for the slipping rates of learned skills, whereas the logistic models do not. Thus, the logistic models assume that as students get more practice their probability of correctly answering monotonically converges to 100%, whereas BKT allows monotonic convergence to lower probabilities. In this paper, we present a novel modification of logistic regression that allows it to account for situations resulting in false negative student actions (e.g., slipping on known skills). We apply this new regression approach to create two new methods"
