Rank,Title,Citations,Year,URL,Description
1,Dynamic searchable encryption in very-large databases: Data structures and implementation,989,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=r9K3MQwAAAAJ&pagesize=50&citation_for_view=r9K3MQwAAAAJ:u5HHmVD_uO8C,"We design and implement dynamic symmetric searchable encryption schemes that efficiently and privately search server-held encrypted databases with tens of billions of record-keyword pairs. Our basic theoretical construction supports single-keyword searches and offers asymptotically optimal server index size, fully parallel searching, and minimal leakage. Our implementation effort brought to the fore several factors ignored by earlier coarse-grained theoretical performance analyses, including low-level space utilization, I/O parallelism and goodput. We accordingly introduce several optimizations to our theoretically optimal construction that model the prototype's characteristics designed to overcome these factors. All of our schemes and optimizations are proven secure and the information leaked to the untrusted server is precisely quantified. We evaluate the performance of our prototype using two very large datasets: a synthesized census database with 100 million records and hundreds of keywords per record and a multi-million webpage collection that includes Wikipedia as a subset. Moreover, we report on an implementation that uses the dynamic SSE schemes developed here as the basis for supporting recent SSE advances, including complex search queries (eg, Boolean queries) and richer operational settings (eg, query delegation), in the above terabyte-scale databases."
2,Pact: Privacy sensitive protocols and mechanisms for mobile contact tracing,225,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=r9K3MQwAAAAJ&pagesize=50&citation_for_view=r9K3MQwAAAAJ:zYLM7Y9cAGgC,"The global health threat from COVID-19 has been controlled in a number of instances by large-scale testing and contact tracing efforts. We created this document to suggest three functionalities on how we might best harness computing technologies to supporting the goals of public health organizations in minimizing morbidity and mortality associated with the spread of COVID-19, while protecting the civil liberties of individuals. In particular, this work advocates for a third-party free approach to assisted mobile contact tracing, because such an approach mitigates the security and privacy risks of requiring a trusted third party. We also explicitly consider the inferential risks involved in any contract tracing system, where any alert to a user could itself give rise to de-anonymizing information. More generally, we hope to participate in bringing together colleagues in industry, academia, and civil society to discuss and converge on ideas around a critical issue rising with attempts to mitigate the COVID-19 pandemic."
3,Ratcheted encryption and key exchange: The security of messaging,136,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=r9K3MQwAAAAJ&pagesize=50&citation_for_view=r9K3MQwAAAAJ:d1gkVwhDpl0C,"We aim to understand, formalize and provably achieve the goals underlying the core key-ratcheting technique of Borisov, Goldberg and Brewer, extensions of which are now used in secure messaging systems. We give syntax and security definitions for ratcheted encryption and key-exchange. We give a proven-secure protocol for ratcheted key exchange. We then show how to generically obtain ratcheted encryption from ratcheted key-exchange and standard encryption."
4,Mass-surveillance without the state: Strongly undetectable algorithm-substitution attacks,135,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=r9K3MQwAAAAJ&pagesize=50&citation_for_view=r9K3MQwAAAAJ:u-x6o8ySG0sC,"We present new algorithm-substitution attacks (ASAs) on symmetric encryption that improve over prior ones in two ways. First, while prior attacks only broke a sub-class of randomized schemes having a property called coin injectivity, our attacks break ALL randomized schemes. Second, while prior attacks are stateful, ours are stateless, achieving a notion of strong undetectability that we formalize. Together this shows that ASAs are an even more dangerous and powerful mass surveillance method than previously thought. Our work serves to increase awareness about what is possible with ASAs and to spur the search for deterrents and counter-measures."
5,Optimal channel security against fine-grained state compromise: The safety of messaging,106,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=r9K3MQwAAAAJ&pagesize=50&citation_for_view=r9K3MQwAAAAJ:qjMakFHDy7sC,We aim to understand the best possible security of a (bidirectional) cryptographic channel against an adversary that may arbitrarily and repeatedly learn the secret state of either communicating party. We give a formal security definition and a proven-secure construction. This construction provides better security against state compromise than the Signal Double Ratchet Algorithm or any other known channel construction. To facilitate this we define and construct new forms of public-key encryption and digital signatures that update their keys over time.
6,Honey encryption beyond message recovery security,45,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=r9K3MQwAAAAJ&pagesize=50&citation_for_view=r9K3MQwAAAAJ:9yKSN-GCB0IC,"Juels and Ristenpart introduced honey encryption (HE) and showed how to achieve message recovery security even in the face of attacks that can exhaustively try all likely keys. This is important in contexts like password-based encryption where keys are very low entropy, and HE schemes based on the JR construction were subsequently proposed for use in password management systems and even long-term protection of genetic data. But message recovery security is in this setting, like previous ones, a relatively weak property, and in particular does not prohibit an attacker from learning partial information about plaintexts or from usefully mauling ciphertexts.We show that one can build HE schemes that can hide partial information about plaintexts and that prevent mauling even in the face of exhaustive brute force attacks. To do so, we introduce target-distribution semantic-security and target-distribution non …"
7,Expected-time cryptography: generic techniques and applications to concrete soundness,34,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=r9K3MQwAAAAJ&pagesize=50&citation_for_view=r9K3MQwAAAAJ:W7OEmFMy1HYC,"This paper studies concrete security with respect to expected-time adversaries. Our first contribution is a set of generic tools to obtain tight bounds on the advantage of an adversary with expected-time guarantees. We apply these tools to derive bounds in the random-oracle and generic-group models, which we show to be tight.As our second contribution, we use these results to derive concrete bounds on the soundness of public-coin proofs and arguments of knowledge. Under the lens of concrete security, we revisit a paradigm by Bootle et al. (EUROCRYPT ’16) that proposes a general Forking Lemma for multi-round protocols which implements a rewinding strategy with expected-time guarantees. We give a tighter analysis, as well as a modular statement. We adopt this to obtain the first quantitative bounds on the soundness of Bulletproofs (Bünz et al., S&P 2018), which we instantiate with our expected-time …"
8,Quantum key-length extension,33,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=r9K3MQwAAAAJ&pagesize=50&citation_for_view=r9K3MQwAAAAJ:YsMSGLbcyi4C,"Should quantum computers become available, they will reduce the effective key length of basic secret-key primitives, such as blockciphers. To address this we will either need to use blockciphers with inherently longer keys or develop key-length extension techniques to amplify the security of a blockcipher to use longer keys.We consider the latter approach and revisit the FX and double encryption constructions. Classically, FX was proven to be a secure key-length extension technique, while double encryption fails to be more secure than single encryption due to a meet-in-the-middle attack. In this work we provide positive results, with concrete and tight bounds, for the security of both of these constructions against quantum attackers in ideal models.For FX, we consider a partially-quantum model, where the attacker has quantum access to the ideal primitive, but only classical access to FX. This is a natural model and …"
9,Tight time-memory trade-offs for symmetric encryption,23,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=r9K3MQwAAAAJ&pagesize=50&citation_for_view=r9K3MQwAAAAJ:UeHWp8X0CEIC,"Concrete security proofs give upper bounds on the attacker’s advantage as a function of its time/query complexity. Cryptanalysis suggests however that other resource limitations – most notably, the attacker’s memory – could make the achievable advantage smaller, and thus these proven bounds too pessimistic. Yet, handling memory limitations has eluded existing security proofs.This paper initiates the study of time-memory trade-offs for basic symmetric cryptography. We show that schemes like counter-mode encryption, which are affected by the Birthday Bound, become more secure (in terms of time complexity) as the attacker’s memory is reduced.One key step of this work is a generalization of the Switching Lemma: For adversaries with S bits of memory issuing q distinct queries, we prove an n-to-n bit random function indistinguishable from a permutation as long as . This result assumes a combinatorial …"
10,Handling adaptive compromise for practical encryption schemes,21,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=r9K3MQwAAAAJ&pagesize=50&citation_for_view=r9K3MQwAAAAJ:Y0pCki6q_DkC,"We provide a new definitional framework capturing the multi-user security of encryption schemes and pseudorandom functions in the face of adversaries that can adaptively compromise users’ keys. We provide a sequence of results establishing the security of practical symmetric encryption schemes under adaptive compromise in the random oracle or ideal cipher model. The bulk of analysis complexity for adaptive compromise security is relegated to the analysis of lower-level primitives such as pseudorandom functions.We apply our framework to give proofs of security for the BurnBox system for privacy in the face of border searches and the in-use searchable symmetric encryption scheme due to Cash et al. In both cases, prior analyses had bugs that our framework helps avoid."
