Rank,Title,Citations,Year,URL,Description
1,Understanding the Mirai Botnet,3332,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=sMnocAYAAAAJ&pagesize=50&citation_for_view=sMnocAYAAAAJ:RGFaLdJalmkC,"The Mirai botnet, composed primarily of embedded and IoT devices, took the Internet by storm in late 2016 when it overwhelmed several high-profile targets with massive distributed denial-of-service (DDoS) attacks. In this paper, we provide a seven-month retrospective analysis of Mirai’s growth to a peak of 600k infections and a history of its DDoS victims. By combining a variety of measurement perspectives, we analyze how the botnet emerged, what classes of devices were affected, and how Mirai variants evolved and competed for vulnerable hosts. Our measurements serve as a lens into the fragile ecosystem of IoT devices. We argue that Mirai may represent a sea change in the evolutionary development of botnets—the simplicity through which devices were infected and its precipitous growth, demonstrate that novice malicious techniques can compromise enough low-end devices to threaten even some of the best-defended targets. To address this risk, we recommend technical and nontechnical interventions, as well as propose future research directions."
2,The matter of heartbleed,1242,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=sMnocAYAAAAJ&pagesize=50&citation_for_view=sMnocAYAAAAJ:5nxA0vEk-isC,"The Heartbleed vulnerability took the Internet by surprise in April 2014. The vulnerability, one of the most consequential since the advent of the commercial Internet, allowed attackers to remotely read protected memory from an estimated 24--55% of popular HTTPS sites. In this work, we perform a comprehensive, measurement-based analysis of the vulnerability's impact, including (1) tracking the vulnerable population, (2) monitoring patching behavior over time, (3) assessing the impact on the HTTPS certificate ecosystem, and (4) exposing real attacks that attempted to exploit the bug. Furthermore, we conduct a large-scale vulnerability notification experiment involving 150,000 hosts and observe a nearly 50% increase in patching by notified hosts. Drawing upon these analyses, we discuss what went well and what went poorly, in an effort to understand how the technical community can respond more effectively to …"
3,Automated classification and analysis of internet malware,873,2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=sMnocAYAAAAJ&pagesize=50&citation_for_view=sMnocAYAAAAJ:ufrVoPGSRksC,"Numerous attacks, such as worms, phishing, and botnets, threaten the availability of the Internet, the integrity of its hosts, and the privacy of its users. A core element of defense against these attacks is anti-virus (AV) software—a service that detects, removes, and characterizes these threats. The ability of these products to successfully characterize these threats has far-reaching effects—from facilitating sharing across organizations, to detecting the emergence of new threats, and assessing risk in quarantine and cleanup. In this paper, we examine the ability of existing host-based anti-virus products to provide semantically meaningful information about the malicious software and tools (or malware) used by attackers. Using a large, recent collection of malware that spans a variety of attack vectors (e.g., spyware, worms, spam), we show that different AV products characterize malware in ways that are inconsistent across …"
4,A search engine backed by Internet-wide scanning,721,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=sMnocAYAAAAJ&pagesize=50&citation_for_view=sMnocAYAAAAJ:LkGwnXOMwfcC,"Fast Internet-wide scanning has opened new avenues for security research, ranging from uncovering widespread vulnerabilities in random number generators to tracking the evolving impact of Heartbleed. However, this technique still requires significant effort: even simple questions, such as, ""What models of embedded devices prefer CBC ciphers?"", require developing an application scanner, manually identifying and tagging devices, negotiating with network administrators, and responding to abuse complaints. In this paper, we introduce Censys, a public search engine and data processing facility backed by data collected from ongoing Internet-wide scans. Designed to help researchers answer security-related questions, Censys supports full-text searches on protocol banners and querying a wide range of derived fields (e.g., 443.https.cipher). It can identify specific vulnerable devices and networks and generate …"
5,Towards an understanding of anti-virtualization and anti-debugging behavior in modern malware,505,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=sMnocAYAAAAJ&pagesize=50&citation_for_view=sMnocAYAAAAJ:UebtZRa9Y70C,"Many threats that plague today’s networks (e.g., phishing, botnets, denial of service attacks) are enabled by a complex ecosystem of attack programs commonly called malware. To combat these threats, defenders of these networks have turned to the collection, analysis, and reverse engineering of malware as mechanisms to understand these programs, generate signatures, and facilitate cleanup of infected hosts. Recently however, new malware instances have emerged with the capability to check and often thwart these defensive activities — essentially leaving defenders blind to their activities. To combat this emerging threat, we have undertaken a robust analysis of current malware and developed a detailed taxonomy of malware defender fingerprinting methods. We demonstrate the utility of this taxonomy by using it to characterize the prevalence of these avoidance methods, to generate a novel fingerprinting …"
6,Analysis of the HTTPS certificate ecosystem,467,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=sMnocAYAAAAJ&pagesize=50&citation_for_view=sMnocAYAAAAJ:MXK_kJrjxJIC,"We report the results of a large-scale measurement study of the HTTPS certificate ecosystem---the public-key infrastructure that underlies nearly all secure web communications. Using data collected by performing 110 Internet-wide scans over 14 months, we gain detailed and temporally fine-grained visibility into this otherwise opaque area of security-critical infrastructure. We investigate the trust relationships among root authorities, intermediate authorities, and the leaf certificates used by web servers, ultimately identifying and classifying more than 1,800 entities that are able to issue certificates vouching for the identity of any website. We uncover practices that may put the security of the ecosystem at risk, and we identify frequent configuration problems that lead to user-facing errors and potential vulnerabilities. We conclude with lessons and recommendations to ensure the long-term health and security of the …"
7,Bohatei: Flexible and Elastic DDoS Defense.,419,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=sMnocAYAAAAJ&pagesize=50&citation_for_view=sMnocAYAAAAJ:0EnyYjriUFMC,"DDoS defense today relies on expensive and proprietary hardware appliances deployed at fixed locations. This introduces key limitations with respect to flexibility (eg, complex routing to get traffic to these “chokepoints”) and elasticity in handling changing attack patterns. We observe an opportunity to address these limitations using new networking paradigms such as softwaredefined networking (SDN) and network functions virtualization (NFV). Based on this observation, we design and implement Bohatei, a flexible and elastic DDoS defense system. In designing Bohatei, we address key challenges with respect to scalability, responsiveness, and adversary-resilience. We have implemented defenses for several DDoS attacks using Bohatei. Our evaluations show that Bohatei is scalable (handling 500 Gbps attacks), responsive (mitigating attacks within one minute), and resilient to dynamic adversaries."
8,The Internet Motion Sensor-A Distributed Blackhole Monitoring System.,397,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=sMnocAYAAAAJ&pagesize=50&citation_for_view=sMnocAYAAAAJ:_FxGoFyzp5QC,"As national infrastructure becomes intertwined with emerging global data networks, the stability and integrity of the two have become synonymous. This connection, while necessary, leaves network assets vulnerable to the rapidly moving threats of today’s Internet, including fast moving worms, distributed denial of service attacks, and routing exploits. This paper introduces the Internet Motion Sensor (IMS), a globally scoped Internet monitoring system whose goal is to measure, characterize, and track threats. The IMS architecture is based on three novel components. First, a Distributed Monitoring Infrastructure increases visibility into global threats. Second, a Lightweight Active Responder provides enough interactivity that traffic on the same service can be differentiated independent of application semantics. Third, a Payload Signatures and Caching mechanism avoids recording duplicated payloads, reducing overhead and assisting in identifying new and unique payloads. We explore the architectural tradeoffs of this system in the context of a 3 year deployment across multiple dark address blocks ranging in size from/24s to a/8. These sensors represent a range of organizations and a diverse sample of the routable IPv4 space including nine of all routable/8 address ranges. Data gathered from these deployments is used to demonstrate the ability of the IMS to capture and characterize several important Internet threats: the Blaster worm (August 2003), the Bagle backdoor scanning efforts (March 2004), and the SCO Denial of Service attacks (December 2003)."
9,A survey of botnet technology and defenses,362,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=sMnocAYAAAAJ&pagesize=50&citation_for_view=sMnocAYAAAAJ:u-x6o8ySG0sC,"Global Internet threats have undergone a profound transformation from attacks designed solely to disable infrastructure to those that also target people and organizations. At the center of many of these attacks are collections of compromised computers, or botnets, remotely controlled by the attackers, and whose members are located in homes, schools, businesses, and governments around the world. In this survey paper we provide a brief look at how existing botnet research, the evolution and future of botnets, as well as the goals and visibility of todaypsilas networks intersect to inform the field of botnet technology and defense."
10,An exploration of L2 cache covert channels in virtualized environments,336,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=sMnocAYAAAAJ&pagesize=50&citation_for_view=sMnocAYAAAAJ:9yKSN-GCB0IC,"Recent exploration into the unique security challenges of cloud computing have shown that when virtual machines belonging to different customers share the same physical machine, new forms of cross-VM covert channel communication arise. In this paper, we explore one of these threats, L2 cache covert channels, and demonstrate the limits of these this threat by providing a quantification of the channel bit rates and an assessment of its ability to do harm. Through progressively refining models of cross-VM covert channels from the derived maximums, to implementable channels in the lab, and finally in Amazon EC2 itself we show how a variety of factors impact our ability to create effective channels. While we demonstrate a covert channel with considerably higher bit rate than previously reported, we assess that even at such improved rates, the harm of data exfiltration from these channels is still limited to the …"
