Rank,Title,Citations,Year,URL,Description
1,A review of earth artificial intelligence,270,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=stSffQ8AAAAJ&pagesize=50&citation_for_view=stSffQ8AAAAJ:Se3iqnhoufwC,"In recent years, Earth system sciences are urgently calling for innovation on improving accuracy, enhancing model intelligence level, scaling up operation, and reducing costs in many subdomains amid the exponentially accumulated datasets and the promising artificial intelligence (AI) revolution in computer science. This paper presents work led by the NASA Earth Science Data Systems Working Groups and ESIP machine learning cluster to give a comprehensive overview of AI in Earth sciences. It holistically introduces the current status, technology, use cases, challenges, and opportunities, and provides all the levels of AI practitioners in geosciences with an overall big picture and to “blow away the fog to get a clearer vision” about the future development of Earth AI. The paper covers all the majorspheres in the Earth system and investigates representative AI research in each domain. Widely used AI algorithms …"
2,"Techniques of use: Confronting value systems of productivity, progress, and usefulness in computing and design",57,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=stSffQ8AAAAJ&pagesize=50&citation_for_view=stSffQ8AAAAJ:ufrVoPGSRksC,"This paper turns to one of HCI's central value systems, i.e. its commitments to usefulness and the ideal that technology enables social progress, productivity, and excellence. Specifically, we examine how the seemingly “positive” ideal to make technology “useful” – i.e. to build systems and devices that advance social and technological progress – masks various forms of violence and injustice such as colonial othering, racist exclusions, and exploitation. Drawing from ethnographic research, we show how design and computing methods from design thinking to agile theory and entrepreneurial approaches in tech production and higher education are the latest techniques in the cultivation of useful bodies on behalf of the state, the corporation, the university, and the economy. Aligning with feminist, critical race and critical computing commitments, this paper offers a genealogical approach to show how injustice and …"
3,Scaling techno-optimistic visions,56,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=stSffQ8AAAAJ&pagesize=50&citation_for_view=stSffQ8AAAAJ:IjCSPb-OGe4C,"Techno-optimism, or the enduring belief that technology use and production are promising for humanity, is bound up in past and ongoing ideals of modernity, progress, and “development.” As a particular form of hope and aspiration, techno-optimism is harnessed for nation-building and economic development projects that invest in the promise of scaling. This article demonstrates that this enduring techno-optimism requires various forms of entrepreneurial labor, and that the promise of scaling and technological progress together form a contemporary technique of governance."
4,HCI’s making agendas,56,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=stSffQ8AAAAJ&pagesize=50&citation_for_view=stSffQ8AAAAJ:2osOgNQ5qMEC,"In this survey, we examine how making emerged as an interdisciplinary arena of scholarship, research and design that connects entrepreneurs, designers, researchers, critical theorists, historians, anthropologists, computer scientists and engineers. HCI is one among many other fields and domains that has declared having a stake in making. And yet, a lot of what and who defines making is happening outside the familiar research laboratory or design studio. We take this article as an opportunity to reflect on HCI’s relationship to making and how this relationship has changed over the last years. Making, we argue, presents HCI with the opportunity to question and revisit underlying principles and long-held aspirations and values of the field. Exactly because HCI and making share some fundamental ideals such as user empowerment and the democratization of participation and technology production, making …"
5,Making and its promises,55,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=stSffQ8AAAAJ&pagesize=50&citation_for_view=stSffQ8AAAAJ:9yKSN-GCB0IC,"A fundamental goal of Participatory Design (PD) scholarship has long been the democratisation of technology production. To democratise technology production in PD is a political project, driven in part by the desire to protect and create democratic societies by virtue of opening up computing and design. Recently, DIY (do it yourself) making has come to be seen by PD scholars as rejuvenating such ideals at the heart of their project. Beyond just PD, the idea that making is an ideal avenue to implement societal and political change has been endorsed by a variety of actors from politicians, corporates and activists, across regions. In this paper, we draw from long-term ethnographic research in China and Indonesia to show how making’s global appeal does not arise from its supposedly inherent logic of democratisation. Rather, work goes into aligning making with particular political ideals. We found that the political …"
6,From bias to repair: Error as a site of collaboration and negotiation in applied data science work,37,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=stSffQ8AAAAJ&pagesize=50&citation_for_view=stSffQ8AAAAJ:_kc_bZDykSQC,"Managing error has become an increasingly central and contested arena within data science work. While recent scholarship in artificial intelligence and machine learning has focused on limiting and eliminating error, practitioners have long used error as a site of collaboration and learning vis-à-vis labelers, domain experts, and the worlds data scientists seek to model and understand. Drawing from work in CSCW, STS, HCML, and repair studies, as well as from multi-sited ethnographic fieldwork within a government institution and a non-profit organization, we move beyond the notion of error as an edge case or anomaly to make three basic arguments. First, error discloses or calls to attention existing structures of collaboration unseen or underappreciated under 'working' systems. Second, error calls into being new forms and sites of collaboration (including, sometimes, new actors). Third, error redeploys old sites and …"
7,Digital energetics,35,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=stSffQ8AAAAJ&pagesize=50&citation_for_view=stSffQ8AAAAJ:YOwf2qJgpHMC,"Exploring the connections between energy and media—and what those connections mean for our current moment Energy and media are the entangled middles of social life—and also of each other. This volume traces the contours of both a media analytic of energy and an energy analytic of media across the cultural, environmental, and economic relations they undergird. Digital Energetics argues that media and energy require joint theorization—not only in their potential to universalize but also in the many contingent and intermeshed relations that they bind together across contemporary informational and fossil regimes. Focusing specifically on digital operations, the coauthors analyze how data and energy have jointly modulated the character of the materiality and labor of digital systems in a warming world. Anne Pasek provides a brief energy history of the bit, tracing how the electrification and digitization of American computing propelled a turn toward efficiency as both a solution and instigator of parallel crises in the workforce and the climate. Zane Griffin Talley Cooper traces these concerns within cryptographic proof-of-work systems and the heat they necessarily produce and seek to manage. Following heat through the twinned histories of thermodynamics and information theory, he argues that such systems are best approached as a paradigmatic, rather than exceptional, example of computing infrastructures. Cindy Kaiying Lin focuses on the practical and political frictions created as database and management designs move from the Global North to South, illustrating how the energy constraints and software cultures of Indonesia open new …"
8,The Routledge global history of feminism,32,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=stSffQ8AAAAJ&pagesize=50&citation_for_view=stSffQ8AAAAJ:0EnyYjriUFMC,"Based on the scholarship of a global team of diverse authors, this wide-ranging handbook surveys the history and current status of pro-women thought and activism over millennia. The book traces the complex history of feminism across the globe, presenting its many identities, its heated debates, its racism, its discussion of religious belief and values, its commitment to social change, and the struggles of women around the world for gender justice. Authors approach past understandings and today’s evolving sense of what feminism or womanism or gender justice are from multiple viewpoints. These perspectives are geographical to highlight commonalities and differences from region to region or nation to nation; they are also chronological, suggesting change or continuity from the ancient world to our digital age. Across five parts, authors delve into topics such as colonialism, empire, the arts, labor activism, family …"
9,"Legitimacy, boundary objects & participation in transnational DIY biology",21,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=stSffQ8AAAAJ&pagesize=50&citation_for_view=stSffQ8AAAAJ:u-x6o8ySG0sC,"Prior research has stipulated that DIY making appeals to many of the concerns central to participatory design: democratization of technology production, individual empowerment and inclusivity. In this paper, we take this stipulation as the starting point of our inquiry, exploring how it happened that making came to be seen as enabler of participatory values and practices. We draw from ethnographic research that followed a transnational collaboration between DIY biologists, scientists, makers, and artists from Indonesia, Europe and India. The paper focuses on the production of three artifacts, tracing their enactment as boundary objects and experimentation in DIY biology. The artifacts did not only help legitimize DIYbio, but also positioned Indonesia itself as a legitimate participant in international networks of knowledge production. The paper contributes to prior research that has challenged stable frames like West/the …"
10,Technoprecarious,15,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=stSffQ8AAAAJ&pagesize=50&citation_for_view=stSffQ8AAAAJ:KlAtU1dfN6UC,"An analysis that traces the role of digital technology in multiplying precarity. Technoprecarious advances a new analytic for tracing how precarity unfolds across disparate geographical sites and cultural practices in the digital age. Digital technologies--whether apps like Uber built on flexible labor or platforms like Airbnb that shift accountability to users--have assisted in consolidating the wealth and influence of a small number of players. These platforms have also furthered increasingly insecure conditions of work and life for racial, ethnic, and sexual minorities, women, indigenous people, migrants, and peoples in the global south. At the same time, precarity has become increasingly generalized, expanding to include even the creative class and digital producers themselves."
