Rank,Title,Citations,Year,URL,Description
1,HIDE: an infrastructure for efficiently protecting information leakage on the address bus,233,2004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=w55j5-8AAAAJ&pagesize=50&citation_for_view=w55j5-8AAAAJ:_kc_bZDykSQC,"XOM-based secure processor has recently been introduced as a mechanism to provide copy and tamper resistant execution. XOM provides support for encryption/decryption and integrity checking. However, neither XOM nor any other current approach adequately addresses the problem of information leakage via the address bus. This paper shows that without address bus protection, the XOM model is severely crippled. Two realistic attacks are shown and experiments show that 70% of the code might be cracked and sensitive data might be exposed leading to serious security breaches.Although the problem of address bus leakage has been widely acknowledged both in industry and academia, no practical solution has ever been proposed that can provide an adequate security guarantee. The main reason is that the problem is very difficult to solve in practice due to severe performance degradation which …"
2,Optimizing static power dissipation by functional units in superscalar processors,127,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=w55j5-8AAAAJ&pagesize=50&citation_for_view=w55j5-8AAAAJ:4TOpqqG69KYC,"We present a novel approach which combines compiler, instruction set, and microarchitecture support to turn off functional units that are idle for long periods of time for reducing static power dissipation by idle functional units using power gating ,. The compiler identifies program regions in which functional units are expected to be idle and communicates this information to the hardware by issuing directives for turning units off at entry points of idle regions and directives for turning them back on at exits from such regions. The microarchitecture is designed to treat the compiler directives as hints ignoring a pair of off and on directives if they are too close together. The results of experiments show that some of the functional units can be kept off for over 90% of the time at the cost of minimal performance degradation of under 1%."
3,Hardware assisted control flow obfuscation for embedded processors,115,2004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=w55j5-8AAAAJ&pagesize=50&citation_for_view=w55j5-8AAAAJ:aqlVkmm33-oC,"With more applications being deployed on embedded platforms, software protection becomes increasingly important. This problem is crucial on embedded systems like financial transaction terminals, pay-TV access-control decoders, where adversaries may easily gain full physical accesses to the systems and critical algorithms must be protected from being cracked. However, as this paper points out that protecting software with either encryption or obfuscation cannot completely preclude the control flow information from being leaked. Encryption has been widely studied and employed as a traditional approach for software protection, however, the control flow information is not 100% hidden with solely encrypting the code. On the other hand, pure software-based obfuscation has been proved inefficient to protect software due to its lack of theoretical foundation and considerable performance overhead introduced by …"
4,Brainy: Effective selection of data structures,112,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=w55j5-8AAAAJ&pagesize=50&citation_for_view=w55j5-8AAAAJ:EUQCXRtRnyEC,"Data structure selection is one of the most critical aspects of developing effective applications. By analyzing data structures' behavior and their interaction with the rest of the application on the underlying architecture, tools can make suggestions for alternative data structures better suited for the program input on which the application runs. Consequently, developers can optimize their data structure usage to make the application conscious of an underlying architecture and a particular program input. This paper presents the design and evaluation of Brainy, a new program analysis tool that automatically selects the best data structure for a given program and its input on a specific microarchitecture. The data structure's interface functions are instrumented to dynamically monitor how the data structure interacts with the application for a given input. The instrumentation records traces of various runtime characteristics …"
5,Anomalous path detection with hardware support,102,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=w55j5-8AAAAJ&pagesize=50&citation_for_view=w55j5-8AAAAJ:Wp0gIr-vW9MC,"Embedded systems are being deployed as a part of critical infrastructures and are vulnerable to malicious attacks due to internet accessibility. Intrusion detection systems have been proposed to protect computer systems from unauthorized penetration. Detecting an attack early on pays off since further damage is avoided and in some cases, resilient recovery could be adopted. This is especially important for embedded systems deployed in critical infrastructures such as Power Grids etc. where a timely intervention could save catastrophes. An intrusion detection system monitors dynamic program behavior against normal program behavior and raises an alert when an anomaly is detected. The normal behavior is learnt by the system through training and profiling.However, all current intrusion detection systems are purely software based and thus suffer from large performance degradation due to constant monitoring …"
6,Storage assignment optimizations to generate compact and efficient code on embedded DSPs,89,1999,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=w55j5-8AAAAJ&pagesize=50&citation_for_view=w55j5-8AAAAJ:M3ejUd6NZC8C,"DSP architectures typically provide dedicated memory address generation units and indirect addressing modes with auto-increment and auto-decrement that subsume address arithmetic calculation. The heavy use of auto-increment and auto-decrement indirect addressing require DSP compilers to perform a careful placement of variables in storage to minimize address arithmetic instructions to generate compact and efficient DSP code. Liao et al. formulated the problem of storage assignment as the simple offset assignment problem (SOA) and the general offset assignment problem (GOA), and proposed heuristic solutions.The storage allocation of variables critically depends on the sequence of variable accesses. In this paper we present techniques to optimize the access sequence of variables by applying algebraic transformations (such as commutativity and associativity) on expression trees to obtain the least …"
7,A scalable scheduling scheme for functional parallelism on distributed memory multiprocessor systems,66,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=w55j5-8AAAAJ&pagesize=50&citation_for_view=w55j5-8AAAAJ:qxL8FJ1GzNcC,"We attempt a new variant of the scheduling problem by investigating the scalability of the schedule length with the required number of processors, by performing scheduling partially at compile time and partially at run time. Assuming infinite number of processors, the compile time schedule is found using a new concept of the threshold of a task that quantifies a trade-off between the schedule-length and the degree of parallelism. The schedule is found to minimize either the schedule length or the number of required processors and it satisfies: A feasibility condition which guarantees that the schedule delay of a task from its earliest start time is below the threshold, and an optimality condition which uses a merit function to decide the best task-processor match for a set of tasks competing for a given processor. At run time, the tasks are merged producing a schedule for a smaller number of available processors. This …"
8,Automated memory leak detection for production use,64,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=w55j5-8AAAAJ&pagesize=50&citation_for_view=w55j5-8AAAAJ:JoZmwDi-zQgC,"This paper presents Sniper, an automated memory leak detection tool for C/C++ production software. To track the staleness of allocated memory (which is a clue to potential leaks) with little overhead (mostly <3%), Sniper leverages instruction sampling using performance monitoring units available in commodity processors. It also offloads the time- and space-consuming analyses, and works on the original software without modifying the underlying memory allocator; it neither perturbs the application execution nor increases the heap size. The Sniper can even deal with multithreaded applications with very low overhead. In particular, it performs a statistical analysis, which views memory leaks as anomalies, for automated and systematic leak determination. Consequently, it accurately detected real-world memory leaks with no false positive, and achieved an F-measure of 81% on average for 17 benchmarks stress …"
9,Blankit library debloating: Getting what you want instead of cutting what you don’t,61,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=w55j5-8AAAAJ&pagesize=50&citation_for_view=w55j5-8AAAAJ:-FonjvnnhkoC,"Modern software systems make extensive use of libraries derived from C and C++. Because of the lack of memory safety in these languages, however, the libraries may suffer from vulnerabilities, which can expose the applications to potential attacks. For example, a very large number of return-oriented programming gadgets exist in glibc that allow stitching together semantically valid but malicious Turing-complete and -incomplete programs. While CVEs get discovered and often patched and remedied, such gadgets serve as building blocks of future undiscovered attacks, opening an ever-growing set of possibilities for generating malicious programs. Thus, significant reduction in the quantity and expressiveness (utility) of such gadgets for libraries is an important problem. In this work, we propose a new approach for handling an application’s library functions that focuses on the principle of “getting only what you want …"
10,Compilation techniques for parallel systems,53,1999,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=w55j5-8AAAAJ&pagesize=50&citation_for_view=w55j5-8AAAAJ:4DMP91E08xMC,Over the past two decades tremendous progress has been made in both the design of parallel architectures and the compilers needed for exploiting parallelism on such architectures. In this paper we summarize the advances in compilation techniques for uncovering and effectively exploiting parallelism at various levels of granularity. We begin by describing the program analysis techniques through which parallelism is detected and expressed in form of a program representation. Next compilation techniques for scheduling instruction level parallelism (ILP) are discussed along with the relationship between the nature of compiler support and type of processor architecture. Compilation techniques for exploiting loop and task level parallelism on shared-memory multiprocessors (SMPs) are summarized. Locality optimizations that must be used in conjunction with parallelization techniques for achieving high …
