Rank,Title,Citations,Year,URL,Description
1,"Causal memory: Definitions, implementation, and programming",737,1995,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xkCYK58AAAAJ&pagesize=50&citation_for_view=xkCYK58AAAAJ:u-x6o8ySG0sC,"The abstraction of a shared memory is of growing importance in distributed computing systems. Traditional memory consistency ensures that all processes agree on a common order of all operations on memory. Unfortunately, providing these guarantees entails access latencies that prevent scaling to large systems. This paper weakens such guarantees by definingcausal memory, an abstraction that ensures that processes in a system agree on the relative ordering of operations that arecausally related. Because causal memory isweakly consistent, it admits more executions, and hence more concurrency, than either atomic or sequentially consistent memories. This paper provides a formal definition of causal memory and gives an implementation for message-passing systems. In addition, it describes a practical class of programs that, if developed for a strongly consistent memory, run correctly with causal memory."
2,Securing context-aware applications using environment roles,640,2001,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xkCYK58AAAAJ&pagesize=50&citation_for_view=xkCYK58AAAAJ:u5HHmVD_uO8C,"In the future, a largely invisible and ubiquitous computing infrastructure will assist people with a variety of activities in the home and at work. The applications that will be deployed in such systems will create and manipulate private information and will provide access to a variety of other resources. Securing such applications is challenging for a number of reasons. Unlike traditional systems where access control has been explored, access decisions may depend on the context in which requests are made. We show how the well-developed notion of roles can be used to capture security-relevant context of the environment in which access requests are made. By introducing environment roles, we create a uniform access control framework that can be used to secure context-aware applications. We also present a security architecture that supports security policies that make use of environment roles to control access to …"
3,The grid protocol: A high performance scheme for maintaining replicated data,441,1992,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xkCYK58AAAAJ&pagesize=50&citation_for_view=xkCYK58AAAAJ:2osOgNQ5qMEC,"A new protocol for maintaining replicated data that can provide both high data availability and low response time is presented. In the protocol, the nodes are organized in a logical grid. Existing protocols are designed primarily to achieve high availability by updating a large fraction of the copies, which provides some (although not significant) load sharing. In the new protocol, transaction processing is shared effectively among nodes storing copies of the data, and both the response time experienced by transactions and the system throughput are improved significantly. The authors analyze the availability of the new protocol and use simulation to study the effect of load sharing on the response time of transactions. They also compare the new protocol with a voting-based scheme.<>"
4,Incentives in BitTorrent induce free riding,373,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xkCYK58AAAAJ&pagesize=50&citation_for_view=xkCYK58AAAAJ:d1gkVwhDpl0C,"We investigate the incentive mechanism of BitTorrent, which is a peer-to-peer file distribution system. As downloaders in BitTorrent are faced with the conflict between the eagerness to download and the unwillingness to upload, we relate this problem to the iterated prisoner's dilemma, which suggests guidelines to design a good incentive mechanism. Based on these guidelines, we propose a new, simple incentive mechanism. Our analysis and the experimental results using PlanetLab show that the original incentive mechanism of BitTorrent can induce free riding because it is not effective in rewarding and punishing downloaders properly. In contrast, a new mechanism proposed by us is shown to be more robust against free riders."
5,The Clouds distributed operating system,358,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xkCYK58AAAAJ&pagesize=50&citation_for_view=xkCYK58AAAAJ:9yKSN-GCB0IC,"The authors discuss a paradigm for structuring distributed operating systems, the potential and implications this paradigm has for users, and research directions for the future. They describe Clouds, a general-purpose operating system for distributed environments. It is based on an object-thread model adapted from object-oriented programming.<>"
6,Video anomaly detection and localization using hierarchical feature representation and Gaussian process regression,294,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xkCYK58AAAAJ&pagesize=50&citation_for_view=xkCYK58AAAAJ:D_sINldO8mEC,"This paper presents a hierarchical framework for detecting local and global anomalies via hierarchical feature representation and Gaussian process regression. While local anomaly is typically detected as a 3D pattern matching problem, we are more interested in global anomaly that involves multiple normal events interacting in an unusual manner such as car accident. To simultaneously detect local and global anomalies, we formulate the extraction of normal interactions from training video as the problem of efficiently finding the frequent geometric relations of the nearby sparse spatio-temporal interest points. A codebook of interaction templates is then constructed and modeled using Gaussian process regression. A novel inference method for computing the likelihood of an observed interaction is also proposed. As such, our model is robust to slight topological deformations and can handle the noise and data unbalance problems in the training data. Simulations show that our system outperforms the main state-of-the-art methods on this topic and achieves at least 80% detection rates based on three challenging datasets."
7,A context-aware security architecture for emerging applications,292,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xkCYK58AAAAJ&pagesize=50&citation_for_view=xkCYK58AAAAJ:IjCSPb-OGe4C,"We describe an approach to building security services for context-aware environments. Specifically, we focus on the design of security services that incorporate the use of security-relevant ""context"" to provide flexible access control and policy enforcement. We previously presented a generalized access control model that makes significant use of contextual information in policy definition. This document provides a concrete realization of such a model by presenting a system-level service architecture, as well as early implementation experience with the framework. Through our context-aware security services, our system architecture offers enhanced authentication services, more flexible access control and a security subsystem that can adapt itself based on current conditions in the environment. We discuss our architecture and implementation and show how it can be used to secure several sample applications."
8,Generalized role-based access control for securing future applications,290,2000,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xkCYK58AAAAJ&pagesize=50&citation_for_view=xkCYK58AAAAJ:UeHWp8X0CEIC,"As computing technology becomes more pervasive and broadband services are deployed into residential communities, new applications will emerge for the home and community environment. These applications will assist people in a variety of daily activities by enabling them to create, access, and manipulate information about the residents and resources in their homes. In a connected community, resources in the home and information about the residents of the home will be remotely accessible to both residents and guests, as well as to potentially malicious users. These new applications, as well as their users and environment, pose new security challenges. The challenges stem from two factors: the nature of the home itself—a private space with a wealth of personal and sensitive information—and the limited technical knowledge and capabilities of the home’s residents."
9,Slow memory: Weakening consistency to enhance concurrency in distributed shared memories,280,1990,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xkCYK58AAAAJ&pagesize=50&citation_for_view=xkCYK58AAAAJ:qjMakFHDy7sC,"The use of weakly consistent memories in distributed shared memory systems to combat unacceptable network delay and to allow such systems to scale is proposed. Proposed memory correctness conditions are surveyed, and how they are related by a weakness hierarchy is demonstrated. Multiversion and messaging interpretations of memory are introduced as means of systematically exploring the space of possible memories. Slow memory is presented as a memory that allows the effects of writes to propagate slowly through the system, eliminating the need for costly consistency maintenance protocols that limit concurrency. Slow memory processes a valuable locality property and supports a reduction from traditional atomic memory. Thus slow memory is as expressive as atomic memory. This expressiveness is demonstrated by two exclusion algorithms and a solution to M.J. Fischer and A. Michael's (1982 …"
10,"{WebWitness}: investigating, categorizing, and mitigating malware download paths",205,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xkCYK58AAAAJ&pagesize=50&citation_for_view=xkCYK58AAAAJ:uWiczbcajpAC,"Most modern malware download attacks occur via the browser, typically due to social engineering and driveby downloads. In this paper, we study the “origin” of malware download attacks experienced by real network users, with the objective of improving malware download defenses. Specifically, we study the web paths followed by users who eventually fall victim to different types of malware downloads. To this end, we propose a novel incident investigation system, named WebWitness.Our system targets two main goals: 1) automatically trace back and label the sequence of events (eg, visited web pages) preceding malware downloads, to highlight how users reach attack pages on the web; and 2) leverage these automatically labeled in-the-wild malware download paths to better understand current attack trends, and"
11,The power of processor consistency,197,1993,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xkCYK58AAAAJ&pagesize=50&citation_for_view=xkCYK58AAAAJ:Tyk-4Ss8FVUC,"Shared memories that provide weaker consistency guarantees than the traditional sequentially consistent or atomic memories have been claimed to provide the key to building scalable systems. One influential memory model, processor considency, has been cited widely in the literature but, due to the lack of a precise and formal definition, contradictory claims have been made regarding its power. We use a formal model to give two distinct definitions of processors consistency: one corresponding to Goodman’s original proposal and the other corresponding that given by the implementors of the DASH system. These definitions are non-operational and can be easily related to other types of memories. To illustrate the power of processor consistency, we exhibit a non-cooperative solution to the mutual exclusion problem that is correct with processor consistency. As a contrast, we show that Lamport’s Bakery algorithm …"
